date_MM_DD_YY,seine_location,seine_pull,taxon,species,size_mm,photo,notes
7/20/16,"Westside Park, Bodega Harbor",1,perch,shiner surfperch,43,yes,
7/20/16,"Westside Park, Bodega Harbor",1,perch,shiner surfperch,45,yes,
7/20/16,"Westside Park, Bodega Harbor",1,perch,shiner surfperch,45,yes,
7/20/16,"Westside Park, Bodega Harbor",1,perch,kelp perch,70,yes,
7/20/16,"Westside Park, Bodega Harbor",1,perch,pile perch,70,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,copper rockfish,45,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,copper rockfish,42,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,copper rockfish,42,yes,
7/20/16,"Westside Park, Bodega Harbor",1,perch,shiner surfperch,44,yes,
7/20/16,"Westside Park, Bodega Harbor",1,perch,shiner surfperch,43,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,copper rockfish,39,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,unknown rockfish,35,yes,vermillion? 
7/20/16,"Westside Park, Bodega Harbor",1,perch,shiner surfperch,74,yes,
7/20/16,"Westside Park, Bodega Harbor",1,perch,shiner surfperch,48,yes,
7/20/16,"Westside Park, Bodega Harbor",1,perch,shiner surfperch,42,yes,
7/20/16,"Westside Park, Bodega Harbor",1,perch,shiner surfperch,46,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,unknown rockfish,35,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,unknown rockfish,32,yes,vermillion? 
7/20/16,"Westside Park, Bodega Harbor",1,pipefish,pipefish,64,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,unknown rockfish,38,yes,vermillion? 
7/20/16,"Westside Park, Bodega Harbor",1,pipefish,pipefish,,yes,**check pic
7/20/16,"Westside Park, Bodega Harbor",1,perch,shiner surfperch,55,yes,
7/20/16,"Westside Park, Bodega Harbor",1,stickleback,threespine stickleback,80,yes,
7/20/16,"Westside Park, Bodega Harbor",1,pipefish,pipefish,82,yes,
7/20/16,"Westside Park, Bodega Harbor",1,rockfish,unknown rockfish,40,yes,
7/20/16,"Westside Park, Bodega Harbor",1,perch,shiner surfperch,100,yes,
7/20/16,"Westside Park, Bodega Harbor",1,perch,striped seaperch,95,yes,check pic
7/20/16,"Westside Park, Bodega Harbor",1,perch,shiner surfperch,45,yes,
7/20/16,"Westside Park, Bodega Harbor",1,stickleback,threespine stickleback,27,yes,
