Site.Name,Country,Lat,Long,Seagrass.Unveg,Date,Time,Temp,Sal,Measurement.Number,Notes,Institution,dt
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,2016-10-28,NA,24.1,25.7,1,,NA,NA
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,2016-10-28,NA,23.3,25.5,2,,NA,NA
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,2016-10-28,NA,22.7,25.7,3,,NA,NA
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,2016-10-28,NA,24.2,25.6,1,,NA,NA
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,2016-10-28,NA,24.1,24.9,2,,NA,NA
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,2016-10-28,NA,23.7,25.7,3,,NA,NA
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,2016-10-29,NA,27.4,26.7,1,,NA,NA
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,2016-10-29,NA,27.3,26.7,2,,NA,NA
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,2016-10-29,NA,27.3,26.3,3,,NA,NA
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,2016-10-29,NA,27.4,25.8,1,,NA,NA
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,2016-10-29,NA,27.5,26.1,2,,NA,NA
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,2016-10-29,NA,27.4,26.2,3,,NA,NA
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,2016-10-30,NA,22.4,26.5,1,,NA,NA
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,2016-10-30,NA,22.2,26.5,2,,NA,NA
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,2016-10-30,NA,22.1,26.5,3,,NA,NA
