Site Name,Country,Lat,Long,Seagrass/Unveg,Date,Time,Temp,Sal,Measurment Number,Data Collector,Notes,Participant List,Contact Email
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,20161028,1618,24.1,25.7,1,Stacy Zhang,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,20161028,1618,23.3,25.5,2,Stacy Zhang,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,20161028,1618,22.7,25.7,3,Stacy Zhang,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,20161028,1618,24.2,25.6,1,Stacy Zhang,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,20161028,1618,24.1,24.9,2,Stacy Zhang,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,20161028,1618,23.7,25.7,3,Stacy Zhang,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,20161029,1719,27.4,26.7,1,Lindsay Gaskins,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,20161029,1719,27.3,26.7,2,Lindsay Gaskins,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,20161029,1719,27.3,26.3,3,Lindsay Gaskins,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,20161029,1712,27.4,25.8,1,Lindsay Gaskins,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,20161029,1712,27.5,26.1,2,Lindsay Gaskins,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,20161029,1712,27.4,26.2,3,Lindsay Gaskins,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,20161030,1715,22.4,26.5,1,Lindsay Gaskins,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,20161030,1715,22.2,26.5,2,Lindsay Gaskins,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,20161030,1715,22.1,26.5,3,Lindsay Gaskins,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,20161030,1716,22.3,26.4,1,Lindsay Gaskins,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,20161030,1716,22.3,26.4,2,Lindsay Gaskins,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,20161030,1716,22.2,26.5,3,Lindsay Gaskins,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,20161031,1553,21.5,26.3,1,Lindsay Gaskins,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,20161031,1553,21.4,26.4,2,Lindsay Gaskins,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Unveg,20161031,1553,21,26.4,3,Lindsay Gaskins,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,20161031,1554,20.9,26.6,1,Lindsay Gaskins,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,20161031,1554,20.8,26.5,2,Lindsay Gaskins,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Pine Knoll Shores,USA (NC2),34.7004,-76.8335,Seagrass,20161031,1554,21,26.4,3,Lindsay Gaskins,,"Lindsay Gaskins, Stacy Zhang",lindsaycgaskins@gmail.com
Bowen,Australia (QLD),-20.01734,148.25191,Seagrass,20161202,730,27,35,1,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.01734,148.25191,Seagrass,20161202,730,27,34,2,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.01734,148.25191,Seagrass,20161202,730,27,33,3,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.20234,148.24826,Unveg,20161202,745,27,31,1,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.20234,148.24826,Unveg,20161202,745,28,32,2,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.20234,148.24826,Unveg,20161202,745,28,31,3,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.01734,148.25191,Seagrass,20161203,900,31,32,1,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.01734,148.25191,Seagrass,20161203,900,30,32,2,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.01734,148.25191,Seagrass,20161203,900,30,32,3,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.20234,148.24826,Unveg,20161203,800,30,31,1,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.20234,148.24826,Unveg,20161203,800,29,31,2,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.20234,148.24826,Unveg,20161203,800,28,33,3,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.01734,148.25191,Seagrass,20161204,800,30,34,1,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.01734,148.25191,Seagrass,20161204,800,29,32,2,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.01734,148.25191,Seagrass,20161204,800,29,33,3,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.20234,148.24826,Unveg,20161204,825,27,31,1,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.20234,148.24826,Unveg,20161204,825,27,32,2,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.20234,148.24826,Unveg,20161204,825,27,33,3,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.01734,148.25191,Seagrass,20161205,600,24,35,1,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.01734,148.25191,Seagrass,20161205,600,24,35,2,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.01734,148.25191,Seagrass,20161205,600,25,35,3,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.20234,148.24826,Unveg,20161205,615,24,34,1,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
Bowen,Australia (QLD),-20.20234,148.24826,Unveg,20161205,615,25,35,2,Paul York,,"Paul York, David Clarke",paul.york@jcu.edu.au
