#,Date,"Time, GMT+05:30","Temp, °C",End Of File
1,4/1/2016,14:30:00,31.676,
2,4/1/2016,14:45:00,31.778,
3,4/1/2016,15:00:00,31.778,
4,4/1/2016,15:15:00,31.778,
5,4/1/2016,15:30:00,31.778,
6,4/1/2016,15:45:00,31.676,
7,4/1/2016,16:00:00,31.472,
8,4/1/2016,16:15:00,31.268,
9,4/1/2016,16:30:00,31.166,
10,4/1/2016,16:45:00,31.064,
11,4/1/2016,17:00:00,30.862,
12,4/1/2016,17:15:00,30.659,
13,4/1/2016,17:30:00,30.558,
14,4/1/2016,17:45:00,30.356,
15,4/1/2016,18:00:00,30.154,
16,4/1/2016,18:15:00,30.054,
17,4/1/2016,18:30:00,29.953,
18,4/1/2016,18:45:00,29.853,
19,4/1/2016,19:00:00,29.752,
20,4/1/2016,19:15:00,29.652,
21,4/1/2016,19:30:00,29.652,
22,4/1/2016,19:45:00,29.652,
23,4/1/2016,20:00:00,29.552,
24,4/1/2016,20:15:00,29.552,
25,4/1/2016,20:30:00,29.552,
26,4/1/2016,20:45:00,29.552,
27,4/1/2016,21:00:00,29.552,
28,4/1/2016,21:15:00,29.552,
29,4/1/2016,21:30:00,29.552,
30,4/1/2016,21:45:00,29.552,
31,4/1/2016,22:00:00,29.552,
32,4/1/2016,22:15:00,29.652,
33,4/1/2016,22:30:00,29.652,
34,4/1/2016,22:45:00,29.552,
35,4/1/2016,23:00:00,29.652,
36,4/1/2016,23:15:00,29.652,
37,4/1/2016,23:30:00,29.652,
38,4/1/2016,23:45:00,29.752,
39,5/1/2016,0:00:00,29.853,
40,5/1/2016,0:15:00,29.853,
41,5/1/2016,0:30:00,29.853,
42,5/1/2016,0:45:00,29.953,
43,5/1/2016,1:00:00,29.953,
44,5/1/2016,1:15:00,29.853,
45,5/1/2016,1:30:00,29.853,
46,5/1/2016,1:45:00,29.853,
47,5/1/2016,2:00:00,29.853,
48,5/1/2016,2:15:00,29.752,
49,5/1/2016,2:30:00,29.752,
50,5/1/2016,2:45:00,29.652,
51,5/1/2016,3:00:00,29.652,
52,5/1/2016,3:15:00,29.652,
53,5/1/2016,3:30:00,29.552,
54,5/1/2016,3:45:00,29.552,
55,5/1/2016,4:00:00,29.452,
56,5/1/2016,4:15:00,29.352,
57,5/1/2016,4:30:00,29.352,
58,5/1/2016,4:45:00,29.252,
59,5/1/2016,5:00:00,29.252,
60,5/1/2016,5:15:00,29.152,
61,5/1/2016,5:30:00,29.152,
62,5/1/2016,5:45:00,29.152,
63,5/1/2016,6:00:00,29.152,
64,5/1/2016,6:15:00,29.053,
65,5/1/2016,6:30:00,29.152,
66,5/1/2016,6:45:00,29.152,
67,5/1/2016,7:00:00,29.152,
68,5/1/2016,7:15:00,29.152,
69,5/1/2016,7:30:00,29.152,
70,5/1/2016,7:45:00,29.252,
71,5/1/2016,8:00:00,29.252,
72,5/1/2016,8:15:00,29.352,
73,5/1/2016,8:30:00,29.552,
74,5/1/2016,8:45:00,29.652,
75,5/1/2016,9:00:00,29.752,
76,5/1/2016,9:15:00,29.953,
77,5/1/2016,9:30:00,30.054,
78,5/1/2016,9:45:00,30.154,
