#,Date,"Time, GMT+05:30","Temp, °C",End Of File
1,31/12/15,4:30:00,22.238,
2,31/12/15,5:00:00,22.046,
3,31/12/15,5:30:00,21.855,
4,31/12/15,6:00:00,21.664,
5,31/12/15,6:30:00,21.569,
6,31/12/15,7:00:00,21.473,
7,31/12/15,7:30:00,21.378,
8,31/12/15,8:00:00,21.76,
9,31/12/15,8:30:00,23.773,
10,31/12/15,9:00:00,26.195,
11,31/12/15,9:30:00,31.268,
12,31/12/15,10:00:00,30.76,
13,31/12/15,10:30:00,30.963,
14,31/12/15,11:00:00,30.963,
15,31/12/15,11:30:00,31.268,
16,31/12/15,12:00:00,31.166,
17,31/12/15,12:30:00,31.268,
18,31/12/15,13:00:00,31.472,
19,31/12/15,13:30:00,31.064,
20,31/12/15,14:00:00,31.268,
21,31/12/15,14:30:00,31.37,
22,31/12/15,15:00:00,31.268,
23,31/12/15,15:30:00,31.064,
24,31/12/15,16:00:00,30.862,
25,31/12/15,16:30:00,30.76,
26,31/12/15,17:00:00,30.457,
27,31/12/15,17:30:00,30.154,
28,31/12/15,18:00:00,29.953,
29,31/12/15,18:30:00,29.752,
30,31/12/15,19:00:00,29.652,
31,31/12/15,19:30:00,29.552,
32,31/12/15,20:00:00,29.452,
33,31/12/15,20:30:00,29.452,
34,31/12/15,21:00:00,29.452,
35,31/12/15,21:30:00,29.352,
36,31/12/15,22:00:00,29.352,
37,31/12/15,22:30:00,29.252,
38,31/12/15,23:00:00,29.252,
39,31/12/15,23:30:00,29.252,
40,1/1/2016,0:00:00,29.252,
41,1/1/2016,0:30:00,29.152,
42,1/1/2016,1:00:00,29.053,
43,1/1/2016,1:30:00,29.053,
44,1/1/2016,2:00:00,29.152,
45,1/1/2016,2:30:00,29.352,
46,1/1/2016,3:00:00,29.252,
47,1/1/2016,3:30:00,29.352,
48,1/1/2016,4:00:00,29.352,
49,1/1/2016,4:30:00,29.352,
50,1/1/2016,5:00:00,29.352,
51,1/1/2016,5:30:00,29.252,
52,1/1/2016,6:00:00,29.252,
53,1/1/2016,6:30:00,29.252,
54,1/1/2016,7:00:00,29.252,
55,1/1/2016,7:30:00,29.252,
56,1/1/2016,8:00:00,29.352,
57,1/1/2016,8:30:00,29.552,
58,1/1/2016,9:00:00,29.752,
59,1/1/2016,9:30:00,29.552,
60,1/1/2016,10:00:00,30.356,
61,1/1/2016,10:30:00,30.356,
62,1/1/2016,11:00:00,30.356,
63,1/1/2016,11:30:00,30.154,
64,1/1/2016,12:00:00,29.953,
65,1/1/2016,12:30:00,30.457,
66,1/1/2016,13:00:00,30.356,
67,1/1/2016,13:30:00,30.457,
68,1/1/2016,14:00:00,30.659,
69,1/1/2016,14:30:00,30.457,
70,1/1/2016,15:00:00,31.064,
71,1/1/2016,15:30:00,30.963,
72,1/1/2016,16:00:00,30.558,
73,1/1/2016,16:30:00,30.457,
74,1/1/2016,17:00:00,30.154,
75,1/1/2016,17:30:00,29.853,
76,1/1/2016,18:00:00,29.652,
77,1/1/2016,18:30:00,29.552,
78,1/1/2016,19:00:00,29.452,
79,1/1/2016,19:30:00,29.352,
80,1/1/2016,20:00:00,29.252,
81,1/1/2016,20:30:00,29.252,
82,1/1/2016,21:00:00,29.252,
