#YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2016,5,1,0,0,1.67,20,7.66,181,18.1
2016,5,1,0,30,1.64,20,7.44,185,17.9
2016,5,1,1,0,1.84,20,8.64,185,18
2016,5,1,1,30,1.76,20,8.15,176,18
2016,5,1,2,30,1.83,18.18,8.3,181,17.5
2016,5,1,3,30,1.78,18.18,8.37,180,17.3
2016,5,1,4,0,1.63,18.18,7.84,188,17.3
2016,5,1,4,30,1.59,18.18,7.78,192,17.4
2016,5,1,5,0,1.87,18.18,8.83,190,17.3
2016,5,1,5,30,1.89,18.18,8.91,185,17.2
2016,5,1,6,0,1.75,18.18,8.64,185,17.1
2016,5,1,6,30,1.55,18.18,7.94,180,17.2
2016,5,1,7,0,1.69,18.18,8.17,194,17.2
2016,5,1,7,30,1.67,18.18,8.77,192,17.1
2016,5,1,8,0,1.84,18.18,9.13,190,17.1
2016,5,1,8,30,1.9,18.18,9.68,195,17.1
2016,5,1,9,0,1.75,18.18,9.13,190,17.1
2016,5,1,9,30,1.77,18.18,9.47,187,17.1
2016,5,1,10,0,1.82,18.18,9.35,192,17.1
2016,5,1,10,30,1.59,18.18,8.64,185,17.1
2016,5,1,11,0,1.81,18.18,9.23,185,17.1
2016,5,1,11,30,1.8,18.18,8.86,184,17.1
2016,5,1,12,0,1.8,18.18,9.6,181,17.1
2016,5,1,12,30,1.8,18.18,9.57,184,17
2016,5,1,13,0,1.58,18.18,8.84,188,17
2016,5,1,13,30,1.66,18.18,9.71,185,17
2016,5,1,14,0,1.76,18.18,9.81,181,16.9
2016,5,1,14,30,1.68,18.18,9.86,184,17
2016,5,1,15,0,1.45,16.67,8.36,185,16.9
2016,5,1,15,30,1.41,18.18,8.78,174,16.9
2016,5,1,16,0,1.72,18.18,10.09,185,16.9
2016,5,1,16,30,1.7,18.18,9.97,188,17
2016,5,1,17,0,1.82,16.67,10.36,183,17
2016,5,1,17,30,1.69,18.18,9.8,184,17
2016,5,1,18,0,1.74,16.67,10.53,181,17.1
2016,5,1,18,30,1.49,16.67,9.15,183,17.1
2016,5,1,19,0,1.58,16.67,9.74,180,17.3
2016,5,1,19,30,1.44,16.67,9.13,181,17.3
2016,5,1,20,0,1.51,16.67,9.5,180,17.4
2016,5,1,20,30,1.45,16.67,9.34,185,17.4
2016,5,1,21,0,1.86,16.67,11.41,181,17.4
2016,5,1,22,0,1.57,16.67,10.59,183,17.5
2016,5,1,22,30,1.5,16.67,10.15,187,17.5
2016,5,1,23,0,1.61,16.67,10.93,180,17.5
2016,5,1,23,30,1.5,16.67,10.01,180,17.4
2016,5,2,0,0,1.6,16.67,10.45,187,17.4
2016,5,2,0,30,1.73,16.67,11.01,183,17.4
2016,5,2,1,0,1.5,16.67,9.96,181,17.3
2016,5,2,1,30,1.41,16.67,9.85,185,17.3
2016,5,2,2,0,1.4,16.67,9.77,183,17.3
2016,5,2,3,0,1.58,16.67,10.64,187,17.3
2016,5,2,3,30,1.52,16.67,10.44,190,17.2
2016,5,2,4,0,1.66,15.38,11.33,187,17.2
2016,5,2,4,30,1.43,16.67,10.66,188,17.1
2016,5,2,5,0,1.41,16.67,10.39,187,17.1
2016,5,2,5,30,1.51,16.67,10.7,188,17.1
2016,5,2,6,0,1.39,15.38,10.04,194,17
2016,5,2,6,30,1.55,16.67,11.21,188,17
2016,5,2,7,0,1.58,15.38,10.37,187,17
2016,5,2,7,30,1.5,15.38,10.7,188,17.1
2016,5,2,8,0,1.53,16.67,10.32,197,17.1
2016,5,2,8,30,1.79,15.38,11.69,191,17
2016,5,2,9,0,1.39,16.67,10.18,187,17
2016,5,2,9,30,1.65,15.38,11.52,190,17
2016,5,2,10,0,1.3,15.38,10.25,187,17
2016,5,2,10,30,1.48,16.67,11.15,192,16.9
2016,5,2,11,0,1.31,15.38,10.34,188,17
