"sciname","StockCode","FeedingType","DietTroph","DietSeTroph","FoodTroph","FoodSeTroph","SpecCode","Trophic.Level"
"Acanthaluteres spilomelanurus",NA,NA,NA,NA,NA,NA,51356,NA
"Centropogon australis",NA,NA,NA,NA,NA,NA,6384,NA
"Fundulus similis",NA,NA,NA,NA,NA,NA,3205,NA
"Gerres subfasciatus",NA,NA,NA,NA,NA,NA,55842,NA
"Hippichthys penicillus",NA,NA,NA,NA,NA,NA,7729,NA
"Hippocampus whitei",NA,NA,NA,NA,NA,NA,22818,NA
"Hypsurus caryi",NA,"hunting macrofauna (predator)",NA,NA,NA,NA,3633,NA
"Lucania parva",NA,"selective plankton feeding",NA,NA,NA,NA,3212,NA
"Menidia beryllina",NA,"hunting macrofauna (predator)",NA,NA,NA,NA,3241,NA
"Rhacochilus toxotes",NA,"hunting macrofauna (predator)",NA,NA,NA,NA,3639,NA
"Sebastiscus marmoratus",NA,NA,NA,NA,NA,NA,4597,NA
