Keep,AutoCtr,StockCode,sciname,FamCode,PopLWRef,LengthMin,LengthMax,Type,LmaxCompare,EsQ,Number,Sex,a,aTL,b,CoeffDetermination,SEa,SEb,SDa,SDb,LCLa,UCLa,LCLb,UCLb,Method,Locality,DataRef,C_Code,Comment,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,TS,SpecCode
Y,5741,4028,Acanthogobius flavimanus,405,30504,15.3,15.3,TL,NA,NA,1,unsexed,0.01103,0.01103,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,single L-W pair with b=3,NA,NA,NA,Estimated from length-weight pairs in the BRAINS table.,1,1999-06-15T00:00:00.000Z,NA,1999-06-15T00:00:00.000Z,NA,NA,NA,3832
,5727,4016,Ammodytes americanus,402,4667,NA,NA,NA,NA,NA,120,female,0.0014,NA,3.085,0.9293,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Block Island Sound, Rhode Island",4667,840,Postspawning.,3,1992-09-01T00:00:00.000Z,NA,1993-05-24T00:00:00.000Z,3,1995-04-05T00:00:00.000Z,NA,3820
,5728,4016,Ammodytes americanus,402,4667,NA,NA,NA,NA,NA,109,female,0.0014,NA,3.321,0.97023,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Merrimac River, New Hampshire",4667,840,Prespawning,3,1992-09-01T00:00:00.000Z,NA,1998-06-02T00:00:00.000Z,3,1995-04-05T00:00:00.000Z,NA,3820
Y,5729,4016,Ammodytes americanus,402,4667,NA,NA,NA,NA,NA,128,male,0.001,NA,3.491,0.97614,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Block Island Sound, Rhode Island",4667,840,Postspawning.,3,1992-09-01T00:00:00.000Z,NA,1993-05-24T00:00:00.000Z,3,1995-04-05T00:00:00.000Z,NA,3820
Y,2058,561,Anchoa mitchilli,454,4528,2.6,8.4,FL,NA,NA,1004,unsexed,0.00436,NA,3.18,0.9801,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Chesapeake Bay, 1987 (spring)",4528,840,NA,3,2000-12-15T00:00:00.000Z,NA,2000-12-15T00:00:00.000Z,NA,NA,NA,545
,2059,561,Anchoa mitchilli,454,4528,4.9,7.9,TL,NA,NA,216,unsexed,0.0171,0.0171,2.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Gulf of Mexico, Louisiana & Mississippi",4528,840,NA,3,1992-08-04T00:00:00.000Z,NA,1993-02-25T00:00:00.000Z,NA,NA,NA,545
,36536,561,Anchoa mitchilli,NA,95265,1.5,6.5,SL,NA,NA,2193,unsexed,0.003,NA,3.641,0.973,NA,0.013,NA,NA,NA,NA,3.616,3.667,Type I linear regression,"Celestun lagoon, Yucatan, 1990-2006",95265,484,Weight range: 0.01 - 2.75 g. Lm = 4.0 cm.,393,2015-04-02T00:00:00.000Z,NA,2015-04-02T00:00:00.000Z,NA,NA,NA,545
,1819,455,Archosargus probatocephalus,330,6937,27.1,27.1,FL,NA,NA,1,unsexed,0.0188,NA,3.091,1,0,0,NA,NA,NA,NA,NA,NA,other,Southern Florida,6937,840,"Preliminary estimate; intercept forced through a point at or close to the origin by adding a ""zero"" data point.",82,1994-05-13T00:00:00.000Z,3,2011-07-29T00:00:00.000Z,NA,NA,NA,441
,1820,455,Archosargus probatocephalus,330,7086,0.9,59.1,SL,NA,NA,282,unsexed,0.0296,0.01478,3.045,0.98605,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,North Carolina,7086,840,NA,3,1994-06-14T00:00:00.000Z,NA,1998-06-02T00:00:00.000Z,NA,NA,NA,441
,1821,455,Archosargus probatocephalus,330,7121,NA,NA,NA,NA,NA,NA,female,0.053,NA,2.85,0.92544,NA,NA,NA,NA,NA,NA,NA,NA,type I linear regression,"Louisiana waters, 1987-88",7121,840,NA,3,1994-06-18T00:00:00.000Z,3,1994-06-18T00:00:00.000Z,3,1995-04-02T00:00:00.000Z,NA,441
