"fishbaseMiss"
"Ambassis marianus"
"Ambassis sp."
"Anchoa delicatissima"
"Arrhamphus sclerolepis"
"Atherinosoma microstoma"
"Chilomycterus schoepfi"
"Cottoidea sp."
"Cottus bairdi"
"Ctenogobius sagittula"
"Cyprinodon variegatus"
"Ditema temminckii"
"Embiotoca sp."
"Embiotocidae sp."
"Embiotocidae spp."
"Epinephelus sp."
"Favonigobius exquisitus"
"Favonigobius hymnauchen"
"Fundulus parvipinnis"
"Gadus chalcogrammus"
"Gobiidae sp."
"Gobiosoma bosc"
"Gobiosoma bosci"
"Gobiosoma sp."
"Gobius sp."
"Hemiramphus robustus"
"Hippocampus procerus"
"Hippocampus sp."
"Hyporhamphus rosae"
"Ilypnus gilberti"
"Lepidogobius lepidus"
"Lepidopsetta sp."
"Liparis sp."
"Liza sp."
"Mullus barbatus"
"noID bellyfish"
"Odontesthes sp."
"Parajulis poecilopterus"
"Paralichthys albigutta"
"Paralichthys microps"
"Paralichthys sp."
"Phanerodon furcatus"
"Pholis fangi"
"Pholis sp."
"Platycephalidae sp."
"Platycephalus aurimaculatus"
"Pomatoschistus sp."
"Porocottus leptosomus"
"Repomucenus lunatus"
"Repomucenus macdonaldi"
"sculpin sp."
"Sebastes pachycephalus"
"Sillago sp."
"Sparus sp."
"Sphyraena borealis"
"Syngnathus leptorhynchus "
"Syngnathus sp."
"Torquigener sp."
"unknown unknown"
