fishbaseMiss,Trophic.Level
Ambassis marianus,3.4
Ambassis sp.,3.2
Anchoa delicatissima,3.4
Arrhamphus sclerolepis,3.1
Atherinosoma microstoma,3.3
Chilomycterus schoepfi,3.5
Cottoidea sp.,3.3
Cottus bairdi,3.3
Ctenogobius sagittula,3.7
Cyprinodon variegatus,2.9
Ditema temminckii,3.7
Embiotoca sp.,
Embiotocidae sp.,
Embiotocidae spp.,
Epinephelus sp.,
Favonigobius exquisitus,3.5
Fundulus parvipinnis,3.3
Gadus chalcogrammus,3.6
Gobiidae sp.,
Gobiosoma bosc,3.2
Gobiosoma sp.,3.2
Gobius sp.,
Hemiramphus robustus,3.4
Hippocampus procerus,3.4
Hippocampus sp.,
Hyporhamphus rosae,3
Ilypnus gilberti,3.2
Lepidogobius lepidus,3.3
Lepidopsetta sp.,
Liparis sp.,
Liza sp.,
Mullus barbatus,3.1
noID bellyfish,
Odontesthes sp.,
Parajulis poecilopterus,3.6
Paralichthys albigutta,4.2
Paralichthys microps,4.2
Paralichthys sp.,
Phanerodon furcatus,3.3
Pholis fangi,3.3
Pholis sp.,
Platycephalidae sp.,
Platycephalus aurimaculatus,3.9
Pomatoschistus sp.,
Porocottus leptosomus,3.2
Repomucenus lunatus,3.3
Repomucenus macdonaldi,3.2
sculpin sp.,
Sebastes pachycephalus,3.7
Sillago sp.,
Sparus sp.,
Sphyraena borealis,4.1
Syngnathus sp.,
Torquigener sp.,
unknown unknown,
