"","functional_group_name","year","fishing_entity_name","taxon_scientific_name","commercial_group_id","commercial_group_name","catch_status","catch_sum","cell_id","reporting_status_name","taxon_common_name","sector_type_name","fishing_entity_id","functional_group_id","sector_type_id","reporting_status","catch_status_name","taxon_key"
"1","sharklg",2010,"Belize","Isurus oxyrinchus",9,"Sharks & rays","R",2.38641280095327,105305,"Reported","Shortfin mako","Industrial",16,20,1,"R","Landings",600752
"2","sharklg",2010,"Belize","Isurus oxyrinchus",9,"Sharks & rays","R",0.407607082599519,104585,"Reported","Shortfin mako","Industrial",16,20,1,"R","Landings",600752
"3","sharklg",2010,"Belize","Sphyrna lewini",9,"Sharks & rays","R",16.1191581282577,105305,"Unreported","Scalloped hammerhead","Artisanal",16,20,3,"U","Landings",600912
"4","sharklg",2010,"Belize","Sphyrna lewini",9,"Sharks & rays","R",24.5341607403851,104585,"Unreported","Scalloped hammerhead","Artisanal",16,20,3,"U","Landings",600912
"5","reef-associatedmd",2010,"Belize","Trachinotus goodei",3,"Perch-likes","R",0.00747396634691334,105304,"Reported","Great pompano","Artisanal",16,17,3,"R","Landings",601011
"6","reef-associatedmd",2010,"Belize","Trachinotus goodei",3,"Perch-likes","R",0.00538245686969857,104585,"Reported","Great pompano","Artisanal",16,17,3,"R","Landings",601011
"7","reef-associatedmd",2010,"Belize","Trachinotus goodei",3,"Perch-likes","R",0.141780048551626,105304,"Unreported","Great pompano","Subsistence",16,17,2,"U","Landings",601011
"8","reef-associatedmd",2010,"Belize","Trachinotus goodei",3,"Perch-likes","R",0.102104419647014,104585,"Unreported","Great pompano","Subsistence",16,17,2,"U","Landings",601011
"9","reef-associatedmd",2010,"Belize","Trachinotus goodei",3,"Perch-likes","R",0.0639220702507965,105304,"Unreported","Great pompano","Artisanal",16,17,3,"U","Landings",601011
"10","reef-associatedmd",2010,"Belize","Trachinotus goodei",3,"Perch-likes","R",0.046034163144024,104585,"Unreported","Great pompano","Artisanal",16,17,3,"U","Landings",601011
