"","functional_group_name","year","fishing_entity_name","taxon_scientific_name","commercial_group_id","commercial_group_name","catch_status","catch_sum","cell_id","reporting_status_name","taxon_common_name","sector_type_name","fishing_entity_id","functional_group_id","sector_type_id","reporting_status","catch_status_name","taxon_key"
"1","pelagicsm",2010,"Chile","Clupea bentincki",2,"Herring-likes","R",1416.15875700673,173737,"Reported","Araucanian herring","Industrial",30,1,1,"R","Landings",601530
"2","pelagicsm",2010,"Chile","Clupea bentincki",2,"Herring-likes","R",412.877241169451,173737,"Unreported","Araucanian herring","Industrial",30,1,1,"U","Landings",601530
"3","pelagiclg",2010,"Chile","Thunnus obesus",4,"Tuna & billfishes","R",0.00741828863441907,173737,"Reported","Bigeye tuna","Artisanal",30,3,3,"R","Landings",600146
"4","pelagiclg",2010,"Chile","Thunnus obesus",4,"Tuna & billfishes","R",0.00222548659032572,173737,"Unreported","Bigeye tuna","Artisanal",30,3,3,"U","Landings",600146
"5","pelagicmd",2010,"Korea (South)","Scomber japonicus",3,"Perch-likes","R",0.0616806057813303,173737,"Reported","Chub mackerel","Industrial",95,2,1,"R","Landings",600117
"6","pelagicmd",2010,"Korea (South)","Scomber japonicus",3,"Perch-likes","R",0.00124437677774018,173018,"Reported","Chub mackerel","Industrial",95,2,1,"R","Landings",600117
"7","pelagicmd",2010,"Chile","Scomber japonicus",3,"Perch-likes","R",2.66164730356885,173018,"Reported","Chub mackerel","Industrial",30,2,1,"R","Landings",600117
"8","pelagicmd",2010,"Chile","Scomber japonicus",3,"Perch-likes","R",131.931116842691,173737,"Reported","Chub mackerel","Industrial",30,2,1,"R","Landings",600117
"9","cephalopods",2010,"Chile","Doryteuthis gahi",12,"Other fishes & inverts","R",1069.56432605491,173737,"Reported","Patagonian squid","Artisanal",30,25,3,"R","Landings",690296
"10","cephalopods",2010,"Chile","Doryteuthis gahi",12,"Other fishes & inverts","R",320.869297816474,173737,"Unreported","Patagonian squid","Artisanal",30,25,3,"U","Landings",690296
"11","pelagiclg",2010,"Chile","Thunnus alalunga",4,"Tuna & billfishes","R",0.00310498456762801,173737,"Reported","Albacore","Artisanal",30,3,3,"R","Landings",600142
"12","pelagiclg",2010,"Chile","Thunnus alalunga",4,"Tuna & billfishes","R",0.000931495370288404,173737,"Unreported","Albacore","Artisanal",30,3,3,"U","Landings",600142
"13","sharklg",2010,"Chile","Alopias vulpinus",9,"Sharks & rays","R",0.0182001380793152,173737,"Reported","Thresher","Artisanal",30,20,3,"R","Landings",602535
