"","functional_group_name","year","fishing_entity_name","taxon_scientific_name","commercial_group_id","commercial_group_name","catch_status","catch_sum","cell_id","reporting_status_name","taxon_common_name","sector_type_name","fishing_entity_id","functional_group_id","sector_type_id","reporting_status","catch_status_name","taxon_key"
"1","pelagiclg",2010,"Unknown Fishing Country","Coryphaena hippurus",3,"Perch-likes","D",0.0284310975495129,80537,"Unreported","Common dolphinfish","Industrial",213,3,1,"U","Discards",600006
"2","pelagiclg",2010,"Unknown Fishing Country","Coryphaena hippurus",3,"Perch-likes","D",0.0161529275372454,79818,"Unreported","Common dolphinfish","Industrial",213,3,1,"U","Discards",600006
"3","pelagiclg",2010,"Korea (South)","Coryphaena hippurus",3,"Perch-likes","D",0.00104218357061719,79818,"Unreported","Common dolphinfish","Industrial",95,3,1,"U","Discards",600006
"4","pelagiclg",2010,"Korea (South)","Coryphaena hippurus",3,"Perch-likes","D",0.00183436858070434,80537,"Unreported","Common dolphinfish","Industrial",95,3,1,"U","Discards",600006
"5","pelagiclg",2010,"China","Coryphaena hippurus",3,"Perch-likes","D",0.000199949394173466,79818,"Unreported","Common dolphinfish","Industrial",31,3,1,"U","Discards",600006
"6","pelagiclg",2010,"China","Coryphaena hippurus",3,"Perch-likes","D",0.000351935011012948,80537,"Unreported","Common dolphinfish","Industrial",31,3,1,"U","Discards",600006
"7","pelagicmd",2010,"Korea (South)","Cololabis saira",12,"Other fishes & inverts","R",4.53941805415363,79818,"Reported","Pacific saury","Industrial",95,2,1,"R","Landings",600303
"8","pelagicmd",2010,"Korea (South)","Cololabis saira",12,"Other fishes & inverts","R",11.0613044503428,80537,"Reported","Pacific saury","Industrial",95,2,1,"R","Landings",600303
"9","pelagicmd",2010,"Korea (South)","Cololabis saira",12,"Other fishes & inverts","R",0.998483683254768,79818,"Reported","Pacific saury","Industrial",95,2,1,"R","Landings",600303
"10","pelagicmd",2010,"Korea (South)","Cololabis saira",12,"Other fishes & inverts","R",2.43302817176638,80537,"Reported","Pacific saury","Industrial",95,2,1,"R","Landings",600303
"11","pelagicmd",2010,"Korea (South)","Cololabis saira",12,"Other fishes & inverts","R",9.37698113925556,79818,"Reported","Pacific saury","Artisanal",95,2,3,"R","Landings",600303
"12","pelagicmd",2010,"Korea (South)","Cololabis saira",12,"Other fishes & inverts","R",18.6405925170507,80537,"Reported","Pacific saury","Artisanal",95,2,3,"R","Landings",600303
