"","functional_group_name","year","fishing_entity_name","taxon_scientific_name","commercial_group_id","commercial_group_name","catch_status","catch_sum","cell_id","reporting_status_name","taxon_common_name","sector_type_name","fishing_entity_id","functional_group_id","sector_type_id","reporting_status","catch_status_name","taxon_key"
"1","pelagicsm",2010,"Australia","Monodactylus argenteus",3,"Perch-likes","R",0.00013146753710147,180661,"Reported","Silver moony","Artisanal",7,1,3,"R","Landings",605807
"2","pelagicsm",2010,"Australia","Monodactylus argenteus",3,"Perch-likes","R",0.0777911066414565,180662,"Reported","Silver moony","Artisanal",7,1,3,"R","Landings",605807
"3","pelagicsm",2010,"Australia","Monodactylus argenteus",3,"Perch-likes","R",0.0192731782707141,179942,"Reported","Silver moony","Artisanal",7,1,3,"R","Landings",605807
"4","pelagiclg",2010,"Unknown Fishing Country","Coryphaena hippurus",3,"Perch-likes","D",0.00109744417036056,179942,"Unreported","Common dolphinfish","Industrial",213,3,1,"U","Discards",600006
"5","pelagiclg",2010,"Japan","Coryphaena hippurus",3,"Perch-likes","D",0.00056539344167486,179942,"Unreported","Common dolphinfish","Industrial",91,3,1,"U","Discards",600006
"6","pelagiclg",2010,"Japan","Coryphaena hippurus",3,"Perch-likes","D",3.30061964377075e-05,180661,"Unreported","Common dolphinfish","Industrial",91,3,1,"U","Discards",600006
"7","pelagiclg",2010,"Japan","Coryphaena hippurus",3,"Perch-likes","D",0.0240720393264177,180662,"Unreported","Common dolphinfish","Industrial",91,3,1,"U","Discards",600006
"8","pelagiclg",2010,"Indonesia","Coryphaena hippurus",3,"Perch-likes","D",0.000478331867199864,179942,"Unreported","Common dolphinfish","Industrial",83,3,1,"U","Discards",600006
"9","pelagiclg",2010,"Indonesia","Coryphaena hippurus",3,"Perch-likes","D",0.00761314518316718,180662,"Unreported","Common dolphinfish","Industrial",83,3,1,"U","Discards",600006
"10","pelagiclg",2010,"Indonesia","Coryphaena hippurus",3,"Perch-likes","D",1.04387070001433e-05,180661,"Unreported","Common dolphinfish","Industrial",83,3,1,"U","Discards",600006
"11","pelagiclg",2010,"Australia","Coryphaena hippurus",3,"Perch-likes","R",0.000152473841147532,180661,"Reported","Common dolphinfish","Industrial",7,3,1,"R","Landings",600006
"12","pelagiclg",2010,"Australia","Coryphaena hippurus",3,"Perch-likes","R",0.111237459665931,180662,"Reported","Common dolphinfish","Industrial",7,3,1,"R","Landings",600006
"13","pelagiclg",2010,"Australia","Coryphaena hippurus",3,"Perch-likes","R",0.0201784874747636,179942,"Reported","Common dolphinfish","Industrial",7,3,1,"R","Landings",600006
"14","pelagiclg",2010,"Australia","Coryphaena hippurus",3,"Perch-likes","R",7.52185930888943e-05,180661,"Reported","Common dolphinfish","Artisanal",7,3,3,"R","Landings",600006
"15","pelagiclg",2010,"Australia","Coryphaena hippurus",3,"Perch-likes","R",0.046652043425068,180662,"Reported","Common dolphinfish","Artisanal",7,3,3,"R","Landings",600006
"16","pelagiclg",2010,"Australia","Coryphaena hippurus",3,"Perch-likes","R",0.00995447757974554,179942,"Reported","Common dolphinfish","Artisanal",7,3,3,"R","Landings",600006
"17","pelagiclg",2010,"Unknown Fishing Country","Kajikia audax",4,"Tuna & billfishes","R",0.019902032036505,179942,"Reported","Striped marlin","Industrial",213,3,1,"R","Landings",600223
"18","pelagiclg",2010,"USA","Kajikia audax",4,"Tuna & billfishes","R",0.0025896183632577,179942,"Reported","Striped marlin","Industrial",187,3,1,"R","Landings",600223
"19","pelagiclg",2010,"USA","Kajikia audax",4,"Tuna & billfishes","R",0.0237588962607979,180662,"Reported","Striped marlin","Industrial",187,3,1,"R","Landings",600223
"20","pelagiclg",2010,"USA","Kajikia audax",4,"Tuna & billfishes","R",7.21876578823593e-05,180661,"Reported","Striped marlin","Industrial",187,3,1,"R","Landings",600223
"21","pelagiclg",2010,"Japan","Kajikia audax",4,"Tuna & billfishes","R",0.0162801881718088,179942,"Reported","Striped marlin","Industrial",91,3,1,"R","Landings",600223
"22","pelagiclg",2010,"Japan","Kajikia audax",4,"Tuna & billfishes","R",0.0209523667572668,179942,"Reported","Striped marlin","Industrial",91,3,1,"R","Landings",600223
"23","pelagiclg",2010,"Japan","Kajikia audax",4,"Tuna & billfishes","R",0.1493653688004,180662,"Reported","Striped marlin","Industrial",91,3,1,"R","Landings",600223
"24","pelagiclg",2010,"Japan","Kajikia audax",4,"Tuna & billfishes","R",0.000453823107945741,180661,"Reported","Striped marlin","Industrial",91,3,1,"R","Landings",600223
"25","pelagiclg",2010,"Japan","Kajikia audax",4,"Tuna & billfishes","R",0.000584063777411816,180661,"Reported","Striped marlin","Industrial",91,3,1,"R","Landings",600223
"26","pelagiclg",2010,"Japan","Kajikia audax",4,"Tuna & billfishes","R",0.00224554319611157,179942,"Reported","Striped marlin","Industrial",91,3,1,"R","Landings",600223
"27","pelagiclg",2010,"Japan","Kajikia audax",4,"Tuna & billfishes","R",0.192231069746456,180662,"Reported","Striped marlin","Industrial",91,3,1,"R","Landings",600223
"28","pelagiclg",2010,"Japan","Kajikia audax",4,"Tuna & billfishes","R",0.020602119834538,180662,"Reported","Striped marlin","Industrial",91,3,1,"R","Landings",600223
"29","pelagiclg",2010,"Japan","Kajikia audax",4,"Tuna & billfishes","R",6.25962907511367e-05,180661,"Reported","Striped marlin","Industrial",91,3,1,"R","Landings",600223
"30","pelagiclg",2010,"Indonesia","Kajikia audax",4,"Tuna & billfishes","R",0.00411079278643006,179942,"Reported","Striped marlin","Industrial",83,3,1,"R","Landings",600223
"31","pelagiclg",2010,"Indonesia","Kajikia audax",4,"Tuna & billfishes","R",0.0377151709874204,180662,"Reported","Striped marlin","Industrial",83,3,1,"R","Landings",600223
"32","pelagiclg",2010,"Indonesia","Kajikia audax",4,"Tuna & billfishes","R",0.000114591596778291,180661,"Reported","Striped marlin","Industrial",83,3,1,"R","Landings",600223
"33","pelagiclg",2010,"Australia","Kajikia audax",4,"Tuna & billfishes","R",0.00447297717289966,179942,"Reported","Striped marlin","Industrial",7,3,1,"R","Landings",600223
