"","functional_group_name","year","fishing_entity_name","taxon_scientific_name","commercial_group_id","commercial_group_name","catch_status","catch_sum","cell_id","reporting_status_name","taxon_common_name","sector_type_name","fishing_entity_id","functional_group_id","sector_type_id","reporting_status","catch_status_name","taxon_key"
"1","pelagicsm",2010,"Russian Federation","Mallotus villosus",6,"Salmon, smelts, etc","R",1.48827252235624,32791,"Reported","Capelin","Industrial",148,1,1,"R","Landings",600252
"2","pelagicsm",2010,"Russian Federation","Mallotus villosus",6,"Salmon, smelts, etc","D",0.148827252235625,32791,"Unreported","Capelin","Industrial",148,1,1,"U","Discards",600252
"3","pelagicsm",2010,"Norway","Mallotus villosus",6,"Salmon, smelts, etc","R",2.45428699322553,32791,"Reported","Capelin","Industrial",128,1,1,"R","Landings",600252
"4","pelagicsm",2010,"Norway","Mallotus villosus",6,"Salmon, smelts, etc","R",19.1481669463035,32791,"Reported","Capelin","Industrial",128,1,1,"R","Landings",600252
"5","pelagicmd",2010,"Russian Federation","Scomber scombrus",3,"Perch-likes","R",17.5162710503752,32791,"Reported","Atlantic mackerel","Industrial",148,2,1,"R","Landings",600118
"6","pelagicmd",2010,"Russian Federation","Scomber scombrus",3,"Perch-likes","D",1.75162710503751,32791,"Unreported","Atlantic mackerel","Industrial",148,2,1,"U","Discards",600118
"7","pelagicmd",2010,"Norway","Scomber scombrus",3,"Perch-likes","R",0.886241545056935,32791,"Reported","Atlantic mackerel","Industrial",128,2,1,"R","Landings",600118
"8","pelagicmd",2010,"Norway","Scomber scombrus",3,"Perch-likes","R",1.09766949519484e-05,32791,"Reported","Atlantic mackerel","Industrial",128,2,1,"R","Landings",600118
"9","pelagicmd",2010,"Norway","Scomber scombrus",3,"Perch-likes","R",28.0535818667961,32791,"Reported","Atlantic mackerel","Industrial",128,2,1,"R","Landings",600118
"10","pelagicmd",2010,"Norway","Scomber scombrus",3,"Perch-likes","R",0.0080396449975408,32791,"Reported","Atlantic mackerel","Industrial",128,2,1,"R","Landings",600118
"11","pelagicmd",2010,"Norway","Scomber scombrus",3,"Perch-likes","R",1.62448061407048,32791,"Reported","Atlantic mackerel","Industrial",128,2,1,"R","Landings",600118
"12","pelagicmd",2010,"Norway","Scomber scombrus",3,"Perch-likes","R",0.872159388811141,32791,"Reported","Atlantic mackerel","Artisanal",128,2,3,"R","Landings",600118
"13","pelagicmd",2010,"Norway","Scomber scombrus",3,"Perch-likes","R",0.0842736456735833,32791,"Reported","Atlantic mackerel","Artisanal",128,2,3,"R","Landings",600118
"14","pelagicmd",2010,"Norway","Scomber scombrus",3,"Perch-likes","R",0.328006806249501,32791,"Unreported","Atlantic mackerel","Subsistence",128,2,2,"U","Landings",600118
"15","pelagicmd",2010,"Norway","Scomber scombrus",3,"Perch-likes","R",0.0109085045674479,32791,"Unreported","Atlantic mackerel","Recreational",128,2,4,"U","Landings",600118
