"","functional_group_name","year","fishing_entity_name","taxon_scientific_name","commercial_group_id","commercial_group_name","catch_status","catch_sum","cell_id","reporting_status_name","taxon_common_name","sector_type_name","fishing_entity_id","functional_group_id","sector_type_id","reporting_status","catch_status_name","taxon_key"
"1","pelagiclg",2010,"USA","Echeneidae",3,"Perch-likes","R",0.268074896433949,90166,"Reported","Remoras","Artisanal",187,3,3,"R","Landings",400313
"2","pelagiclg",2010,"USA","Echeneidae",3,"Perch-likes","R",0.575723727146564,89447,"Reported","Remoras","Artisanal",187,3,3,"R","Landings",400313
"3","pelagiclg",2010,"USA","Echeneidae",3,"Perch-likes","R",0.0431898443978861,90166,"Unreported","Remoras","Artisanal",187,3,3,"U","Landings",400313
"4","pelagiclg",2010,"USA","Echeneidae",3,"Perch-likes","R",0.0927554893143743,89447,"Unreported","Remoras","Artisanal",187,3,3,"U","Landings",400313
"5","pelagiclg",2010,"USA","Echeneidae",3,"Perch-likes","R",0.0120619109170963,90166,"Unreported","Remoras","Recreational",187,3,4,"U","Landings",400313
"6","pelagiclg",2010,"USA","Echeneidae",3,"Perch-likes","R",0.0259044334328841,89447,"Unreported","Remoras","Recreational",187,3,4,"U","Landings",400313
"7","pelagiclg",2010,"USA","Echeneidae",3,"Perch-likes","D",0.0212159133576496,89447,"Unreported","Remoras","Industrial",187,3,1,"U","Discards",400313
"8","pelagiclg",2010,"USA","Echeneidae",3,"Perch-likes","D",0.00877476947766634,90166,"Unreported","Remoras","Industrial",187,3,1,"U","Discards",400313
"9","pelagicmd",2010,"USA","Dorosoma cepedianum",2,"Herring-likes","R",0.00581982518166368,90166,"Unreported","American gizzard shad","Artisanal",187,2,3,"U","Landings",601604
"10","pelagicmd",2010,"USA","Dorosoma cepedianum",2,"Herring-likes","R",0.00923896505358463,89447,"Unreported","American gizzard shad","Artisanal",187,2,3,"U","Landings",601604
"11","pelagicmd",2010,"USA","Dorosoma cepedianum",2,"Herring-likes","R",0.21115452641403,90166,"Unreported","American gizzard shad","Artisanal",187,2,3,"U","Landings",601604
"12","pelagicmd",2010,"USA","Dorosoma cepedianum",2,"Herring-likes","R",0.335207541386622,89447,"Unreported","American gizzard shad","Artisanal",187,2,3,"U","Landings",601604
"13","pelagicmd",2010,"USA","Dorosoma cepedianum",2,"Herring-likes","R",0.0361230528747758,90166,"Reported","American gizzard shad","Artisanal",187,2,3,"R","Landings",601604
"14","pelagicmd",2010,"USA","Dorosoma cepedianum",2,"Herring-likes","R",0.0573453003692182,89447,"Reported","American gizzard shad","Artisanal",187,2,3,"R","Landings",601604
"15","pelagicmd",2010,"USA","Dorosoma cepedianum",2,"Herring-likes","R",1.31061430271722,90166,"Reported","American gizzard shad","Artisanal",187,2,3,"R","Landings",601604
"16","pelagicmd",2010,"USA","Dorosoma cepedianum",2,"Herring-likes","R",2.08059853407334,89447,"Reported","American gizzard shad","Artisanal",187,2,3,"R","Landings",601604
