"","functional_group_name","year","fishing_entity_name","taxon_scientific_name","commercial_group_id","commercial_group_name","catch_status","catch_sum","cell_id","reporting_status_name","taxon_common_name","sector_type_name","fishing_entity_id","functional_group_id","sector_type_id","reporting_status","catch_status_name","taxon_key"
"1","benthopelagiclg",2010,"Australia","Lobotes surinamensis",3,"Perch-likes","R",3.46941634764592e-06,184970,"Reported","Tripletail","Artisanal",7,15,3,"R","Landings",601077
"2","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.000731632876378855,184250,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"3","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.00287504486644975,184969,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"4","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.0374858530857824,184970,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"5","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.00460425184908523,184250,"Unreported","Bluefish","Recreational",7,3,4,"U","Landings",600364
"6","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.0180929959135675,184969,"Unreported","Bluefish","Recreational",7,3,4,"U","Landings",600364
"7","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.235902887851335,184970,"Unreported","Bluefish","Recreational",7,3,4,"U","Landings",600364
"8","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",5.16543557060779e-05,184250,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"9","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.0002029823904819,184969,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"10","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.00264655628765938,184970,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"11","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.000161986345951244,184250,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"12","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.00063654604296502,184969,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"13","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.00829951272321821,184970,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"14","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",1.18995425544266e-05,184250,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"15","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",4.67607728394219e-05,184969,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"16","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.000609683515304838,184970,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"17","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",1.78668556570659e-05,184250,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"18","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",7.02100921034149e-05,184969,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"19","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.000915424043791653,184970,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"20","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",1.29435958870909e-05,184250,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"21","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",5.08635138059471e-05,184969,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"22","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.000663176504897763,184970,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"23","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",6.74110803449566e-05,184250,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"24","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.000264900453143716,184969,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"25","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.00345386591520035,184970,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"26","sharklg",2010,"Australia","Carcharhinus longimanus",9,"Sharks & rays","R",1.36532569776998e-10,184970,"Reported","Oceanic whitetip shark","Industrial",7,20,1,"R","Landings",600875
"27","sharklg",2010,"Australia","Carcharhinus longimanus",9,"Sharks & rays","R",1.36532569776998e-10,184970,"Reported","Oceanic whitetip shark","Industrial",7,20,1,"R","Landings",600875
"28","pelagiclg",2010,"Australia","Katsuwonus pelamis",4,"Tuna & billfishes","R",6.09715219293778e-06,184250,"Reported","Skipjack tuna","Artisanal",7,3,3,"R","Landings",600107
"29","pelagiclg",2010,"Australia","Katsuwonus pelamis",4,"Tuna & billfishes","R",0.000220945240998965,184970,"Reported","Skipjack tuna","Artisanal",7,3,3,"R","Landings",600107
"30","pelagiclg",2010,"Australia","Katsuwonus pelamis",4,"Tuna & billfishes","R",2.4635248224079e-05,184969,"Reported","Skipjack tuna","Artisanal",7,3,3,"R","Landings",600107
"31","sharklg",2010,"Australia","Alopias vulpinus",9,"Sharks & rays","R",2.62661932286416e-09,184970,"Reported","Thresher","Industrial",7,20,1,"R","Landings",602535
"32","sharklg",2010,"Australia","Alopias vulpinus",9,"Sharks & rays","R",2.62661932286416e-09,184970,"Reported","Thresher","Industrial",7,20,1,"R","Landings",602535
"33","sharklg",2010,"Australia","Alopias vulpinus",9,"Sharks & rays","R",8.4678410500169e-08,184970,"Reported","Thresher","Artisanal",7,20,3,"R","Landings",602535
"34","sharklg",2010,"Australia","Lamna nasus",9,"Sharks & rays","R",8.83081687383459e-10,184970,"Reported","Porbeagle","Industrial",7,20,1,"R","Landings",600088
"35","sharklg",2010,"Australia","Isurus oxyrinchus",9,"Sharks & rays","R",2.36945705390652e-09,184970,"Reported","Shortfin mako","Industrial",7,20,1,"R","Landings",600752
"36","sharklg",2010,"Australia","Isurus oxyrinchus",9,"Sharks & rays","R",2.82392761054987e-06,184970,"Reported","Shortfin mako","Artisanal",7,20,3,"R","Landings",600752
"37","sharklg",2010,"Australia","Sphyrna zygaena",9,"Sharks & rays","R",6.78222591975619e-09,184970,"Reported","Smooth hammerhead","Industrial",7,20,1,"R","Landings",600917
