"","functional_group_name","year","fishing_entity_name","taxon_scientific_name","commercial_group_id","commercial_group_name","catch_status","catch_sum","cell_id","reporting_status_name","taxon_common_name","sector_type_name","fishing_entity_id","functional_group_id","sector_type_id","reporting_status","catch_status_name","taxon_key"
"1","pelagicmd",2010,"USA","Alosa sapidissima",2,"Herring-likes","R",0.000134218170073592,61315,"Reported","American shad","Industrial",187,2,1,"R","Landings",601584
"2","pelagicmd",2010,"USA","Alosa sapidissima",2,"Herring-likes","R",0.000165793979311049,60596,"Reported","American shad","Industrial",187,2,1,"R","Landings",601584
"3","pelagicmd",2010,"USA","Alosa sapidissima",2,"Herring-likes","R",2.23468947602987e-05,61316,"Reported","American shad","Industrial",187,2,1,"R","Landings",601584
"4","pelagicmd",2010,"USA","Alosa sapidissima",2,"Herring-likes","R",0.0615373566033172,60596,"Reported","American shad","Artisanal",187,2,3,"R","Landings",601584
"5","pelagicmd",2010,"USA","Alosa sapidissima",2,"Herring-likes","R",0.0498174389672278,61315,"Reported","American shad","Artisanal",187,2,3,"R","Landings",601584
"6","pelagicmd",2010,"USA","Alosa sapidissima",2,"Herring-likes","R",0.00829444373291182,61316,"Reported","American shad","Artisanal",187,2,3,"R","Landings",601584
"7","pelagicmd",2010,"USA","Oncorhynchus nerka",6,"Salmon, smelts, etc","R",79.1714916857121,61315,"Reported","Sockeye salmon","Artisanal",187,2,3,"R","Landings",600243
"8","pelagicmd",2010,"USA","Oncorhynchus nerka",6,"Salmon, smelts, etc","R",110.814849836642,60596,"Reported","Sockeye salmon","Artisanal",187,2,3,"R","Landings",600243
"9","pelagicmd",2010,"USA","Oncorhynchus nerka",6,"Salmon, smelts, etc","R",13.0957574694046,61316,"Reported","Sockeye salmon","Artisanal",187,2,3,"R","Landings",600243
"10","pelagicmd",2010,"USA","Scomber japonicus",3,"Perch-likes","R",4.72093007765701e-05,60596,"Reported","Chub mackerel","Industrial",187,2,1,"R","Landings",600117
"11","pelagicmd",2010,"USA","Scomber japonicus",3,"Perch-likes","R",3.77718003125967e-05,61315,"Reported","Chub mackerel","Industrial",187,2,1,"R","Landings",600117
"12","pelagicmd",2010,"USA","Scomber japonicus",3,"Perch-likes","R",6.3698207301486e-06,61316,"Reported","Chub mackerel","Industrial",187,2,1,"R","Landings",600117
"13","pelagicmd",2010,"USA","Scomber japonicus",3,"Perch-likes","R",0.00434375703594862,61315,"Reported","Chub mackerel","Industrial",187,2,1,"R","Landings",600117
"14","pelagicmd",2010,"USA","Scomber japonicus",3,"Perch-likes","R",0.00542906958930556,60596,"Reported","Chub mackerel","Industrial",187,2,1,"R","Landings",600117
"15","pelagicmd",2010,"USA","Scomber japonicus",3,"Perch-likes","R",0.000732529383967089,61316,"Reported","Chub mackerel","Industrial",187,2,1,"R","Landings",600117
"16","pelagicmd",2010,"USA","Scomber japonicus",3,"Perch-likes","R",6.42212545004659e-06,60596,"Unreported","Chub mackerel","Recreational",187,2,4,"U","Landings",600117
"17","pelagicmd",2010,"USA","Scomber japonicus",3,"Perch-likes","R",5.1382934631347e-06,61315,"Unreported","Chub mackerel","Recreational",187,2,4,"U","Landings",600117
"18","pelagicmd",2010,"USA","Scomber japonicus",3,"Perch-likes","R",8.665196724903e-07,61316,"Unreported","Chub mackerel","Recreational",187,2,4,"U","Landings",600117
"19","pelagicsm",2010,"USA","Thaleichthys pacificus",6,"Salmon, smelts, etc","R",0.00490938710206775,61315,"Reported","Eulachon","Artisanal",187,1,3,"R","Landings",600256
"20","pelagicsm",2010,"USA","Thaleichthys pacificus",6,"Salmon, smelts, etc","R",0.00712037566119034,60596,"Reported","Eulachon","Artisanal",187,1,3,"R","Landings",600256
"21","pelagicsm",2010,"USA","Thaleichthys pacificus",6,"Salmon, smelts, etc","R",0.000916485253064556,61316,"Reported","Eulachon","Artisanal",187,1,3,"R","Landings",600256
"22","pelagicsm",2010,"USA","Thaleichthys pacificus",6,"Salmon, smelts, etc","D",2.06910476018257e-06,60596,"Unreported","Eulachon","Industrial",187,1,1,"U","Discards",600256
"23","pelagicsm",2010,"USA","Thaleichthys pacificus",6,"Salmon, smelts, etc","D",1.42661520165459e-06,61315,"Unreported","Eulachon","Industrial",187,1,1,"U","Discards",600256
