"","functional_group_name","year","fishing_entity_name","taxon_scientific_name","commercial_group_id","commercial_group_name","catch_status","catch_sum","cell_id","reporting_status_name","taxon_common_name","sector_type_name","fishing_entity_id","functional_group_id","sector_type_id","reporting_status","catch_status_name","taxon_key"
"1","pelagiclg",2010,"Mexico","Coryphaena hippurus",3,"Perch-likes","R",0.0179763750340072,99547,"Reported","Common dolphinfish","Artisanal",110,3,3,"R","Landings",600006
"2","pelagiclg",2010,"Mexico","Coryphaena hippurus",3,"Perch-likes","R",0.0266300348664659,98827,"Reported","Common dolphinfish","Artisanal",110,3,3,"R","Landings",600006
"3","pelagiclg",2010,"Mexico","Coryphaena hippurus",3,"Perch-likes","R",0.000332286117772858,99546,"Reported","Common dolphinfish","Artisanal",110,3,3,"R","Landings",600006
"4","pelagiclg",2010,"Mexico","Coryphaena hippurus",3,"Perch-likes","R",0.00665125876258268,99547,"Unreported","Common dolphinfish","Artisanal",110,3,3,"U","Landings",600006
"5","pelagiclg",2010,"Mexico","Coryphaena hippurus",3,"Perch-likes","R",0.00985311290059238,98827,"Unreported","Common dolphinfish","Artisanal",110,3,3,"U","Landings",600006
"6","pelagiclg",2010,"Mexico","Coryphaena hippurus",3,"Perch-likes","R",0.000122945863575957,99546,"Unreported","Common dolphinfish","Artisanal",110,3,3,"U","Landings",600006
"7","pelagiclg",2010,"Mexico","Kajikia albida",4,"Tuna & billfishes","R",0.00142283362376182,99547,"Reported","Atlantic white marlin","Industrial",110,3,1,"R","Landings",600219
"8","pelagiclg",2010,"Mexico","Kajikia albida",4,"Tuna & billfishes","R",0.000908545099328332,98827,"Reported","Atlantic white marlin","Industrial",110,3,1,"R","Landings",600219
"9","pelagiclg",2010,"Mexico","Kajikia albida",4,"Tuna & billfishes","R",1.02448961518346e-05,99546,"Reported","Atlantic white marlin","Industrial",110,3,1,"R","Landings",600219
"10","pelagiclg",2010,"Mexico","Kajikia albida",4,"Tuna & billfishes","R",0.0840258132646176,99547,"Reported","Atlantic white marlin","Recreational",110,3,4,"R","Landings",600219
"11","pelagiclg",2010,"Mexico","Kajikia albida",4,"Tuna & billfishes","R",0.109402118589868,98827,"Reported","Atlantic white marlin","Recreational",110,3,4,"R","Landings",600219
"12","pelagiclg",2010,"Mexico","Kajikia albida",4,"Tuna & billfishes","R",0.00141686075258238,99546,"Reported","Atlantic white marlin","Recreational",110,3,4,"R","Landings",600219
"13","pelagiclg",2010,"Mexico","Kajikia albida",4,"Tuna & billfishes","R",0.00840258132646176,99547,"Unreported","Atlantic white marlin","Recreational",110,3,4,"U","Landings",600219
"14","pelagiclg",2010,"Mexico","Kajikia albida",4,"Tuna & billfishes","R",0.0109402118589868,98827,"Unreported","Atlantic white marlin","Recreational",110,3,4,"U","Landings",600219
"15","pelagiclg",2010,"Mexico","Kajikia albida",4,"Tuna & billfishes","R",0.000141686075258238,99546,"Unreported","Atlantic white marlin","Recreational",110,3,4,"U","Landings",600219
"16","pelagiclg",2010,"Mexico","Makaira nigricans",4,"Tuna & billfishes","R",0.0192158078650784,99547,"Reported","Blue marlin","Industrial",110,3,1,"R","Landings",600216
"17","pelagiclg",2010,"Mexico","Makaira nigricans",4,"Tuna & billfishes","R",0.0122505324070708,98827,"Reported","Blue marlin","Industrial",110,3,1,"R","Landings",600216
"18","pelagiclg",2010,"Mexico","Makaira nigricans",4,"Tuna & billfishes","R",0.759947014147279,99547,"Reported","Blue marlin","Recreational",110,3,4,"R","Landings",600216
"19","pelagiclg",2010,"Mexico","Makaira nigricans",4,"Tuna & billfishes","R",0.987871067332476,98827,"Reported","Blue marlin","Recreational",110,3,4,"R","Landings",600216
"20","pelagiclg",2010,"Mexico","Makaira nigricans",4,"Tuna & billfishes","R",0.0759947014147279,99547,"Unreported","Blue marlin","Recreational",110,3,4,"U","Landings",600216
