Site,abLat,habitat,rate,sstmean,temp,chlomean,ENSPIE,richness,cpua,logbio,catch_min,catch_max,catch_mean,pop,pop30,hemi,coast,logcatch,logpop,logpop30,logchl,logabun,MDS1,MDS2,bio.filt,cpua.filt,act.ratio,FRic,qual.FRic,FEve,FDis,RaoQ,FGR,act,feed,troph,watercol,body,length,log.mass.rda,log.cpua.rda
CA,32.765165,Seagrass,0.202973815,17.25,21.86777778,2.251666705,3.261091466,12.78220859,1.210205183,1.072707415,519.9904765,519.9904765,519.9904765,1301.595337,1988.445068,North,East,2.71599539,3.114475984,3.298513598,0.352504106,0.082859009,-0.629691273,-0.570660532,5.832488727,0.286750176,0.444444444,0.08432149,0.126088172,0.875,0.471025772,0.245208333,5,1,hunting macrofauna (predator),benthic invertivore,benthic,fusiform / normal,69.2197121,0.765928363,-0.537976292
CA,32.765165,Unvegetated,9.32E-04,17.25,21.83111111,2.251666705,1.537807818,8.928571429,0.456515742,0.577470693,519.9904765,519.9904765,519.9904765,1301.595337,1988.445068,North,East,2.71599539,3.114475984,3.298513598,0.352504106,-0.340544242,-0.555155006,-0.456184807,0.879798482,0.158866289,0.25,0.044770223,0.126088172,0.8,0.403854682,0.200277778,3,1,hunting macrofauna (predator),benthic invertivore,benthic,elongated,66.78712047,-0.055123442,-0.790843589
VA2,37.68882,Seagrass,0.016247096,15.4375,25.71111111,18.51350021,1.553411221,6.276190476,4.918819328,0.635286298,1844.297527,2054.08122,1949.189374,30.17949104,41.97722753,North,West,3.289854035,1.479711911,1.623013751,1.267488535,0.691860871,-0.334444654,-1.047000467,2.23691443,0.149803922,0.8,0.036312634,0.126088172,0.996844459,0.520416046,0.286825,2,0,hunting macrofauna (predator),benthic invertivore,demersal,elongated,54.85708378,0.349843477,-0.8158655
VA2,37.68751,Unvegetated,0.008351218,15.4375,25.6,18.51350021,1.824304295,4.708333333,0.452043651,0.471281826,1844.297527,2054.08122,1949.189374,30.17949104,41.97722753,North,West,3.289854035,1.479711911,1.623013751,1.267488535,-0.344819626,0.020828469,-1.836937343,3.131569993,0.151640212,1,0.03359472,0.126088172,0.995741725,0.53882732,0.293402778,2,0,hunting macrofauna (predator),omnivore,pelagic site attached,elongated,56.87330217,0.495900783,-0.810677565
VA2,37.68175,Unvegetated,0.009188624,15.4375,25.6,18.51350021,1.824304295,4.708333333,0.452043651,0.471281826,1844.297527,2054.08122,1949.189374,30.17949104,41.97722753,North,West,3.289854035,1.479711911,1.623013751,1.267488535,-0.344819626,0.020828469,-1.836937343,3.131569993,0.151640212,1,0.03359472,0.126088172,0.995741725,0.53882732,0.293402778,2,0,hunting macrofauna (predator),omnivore,pelagic site attached,elongated,56.87330217,0.495900783,-0.810677565
VA2,37.68154,Seagrass,0.045772785,15.4375,25.71111111,18.51350021,1.553411221,6.276190476,4.918819328,0.635286298,1844.297527,2054.08122,1949.189374,30.17949104,41.97722753,North,West,3.289854035,1.479711911,1.623013751,1.267488535,0.691860871,-0.334444654,-1.047000467,2.23691443,0.149803922,0.8,0.036312634,0.126088172,0.996844459,0.520416046,0.286825,2,0,hunting macrofauna (predator),benthic invertivore,demersal,elongated,54.85708378,0.349843477,-0.8158655
VA2,37.68199,Unvegetated,0.008351218,15.4375,25.6,18.51350021,1.824304295,4.708333333,0.452043651,0.471281826,1844.297527,2054.08122,1949.189374,30.17949104,41.97722753,North,West,3.289854035,1.479711911,1.623013751,1.267488535,-0.344819626,0.020828469,-1.836937343,3.131569993,0.151640212,1,0.03359472,0.126088172,0.995741725,0.53882732,0.293402778,2,0,hunting macrofauna (predator),omnivore,pelagic site attached,elongated,56.87330217,0.495900783,-0.810677565
VA2,37.68225,Seagrass,0.013078606,15.4375,25.71111111,18.51350021,1.553411221,6.276190476,4.918819328,0.635286298,1844.297527,2054.08122,1949.189374,30.17949104,41.97722753,North,West,3.289854035,1.479711911,1.623013751,1.267488535,0.691860871,-0.334444654,-1.047000467,2.23691443,0.149803922,0.8,0.036312634,0.126088172,0.996844459,0.520416046,0.286825,2,0,hunting macrofauna (predator),benthic invertivore,demersal,elongated,54.85708378,0.349843477,-0.8158655
MA,42.41978,Seagrass,0.001733165,10.31599998,13.05555556,6.379750013,2,2,0.023809524,-1.093736516,0.292340083,1910.682084,864.449097,2111.651367,1554.211472,North,West,2.936739425,3.324622218,3.19151011,0.804803661,-1.62324929,-0.323291897,0.575792996,0,0,0.25,0,0.126088172,0.5,0.200000007,0.08,2,1,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal,48.81544503,-3,-2.522878745
MA,42.41986,Unvegetated,0.007380296,10.31599998,12.77777778,6.379750013,1.628571429,1.857142857,0.012741435,-0.674500498,0.292340083,1910.682084,864.449097,2111.651367,1554.211472,North,West,2.936739425,3.324622218,3.19151011,0.804803661,-1.894781658,-1.089897081,0.578439037,0,0,0,0,0.126088172,1,0.115470054,0.013333333,2,1,hunting macrofauna (predator),benthic invertivore,benthic,short and / or deep,103.4090909,-3,-2.522878745
