(Intercept),factor(habitat),scale(act.ratio),scale(ENSPIEfish),scale(log.catch.rda),scale(log.mass.rda),scale(logchl),scale(logpop),scale(MDS1),scale(richness.fish),scale(sstmean),scale(temp),df,logLik,AICc,delta,weight
-2.625705666619754,NA,NA,NA,0.862452857634701,NA,NA,NA,1.5229869698618383,NA,NA,NA,4,-31.122085291245664,70.43929253371084,0,0.0563182382916242
-2.7969452235298027,NA,NA,NA,NA,0.9497331817310837,NA,NA,1.6451749227281014,NA,NA,NA,4,-31.22900155475202,70.65312506072355,0.2138325270127126,0.0506076204898812
-2.5409241650388226,NA,NA,NA,NA,NA,NA,NA,1.964739771778151,0.44256882848095774,NA,NA,4,-31.334201793958794,70.8635255391371,0.4242330054262595,0.045554159114768
-2.525991566921843,NA,NA,NA,NA,NA,NA,NA,1.9695425620002383,NA,NA,NA,3,-32.45733931488208,71.03118348413308,0.5918909504222398,0.0418910816496687
-2.553445801077742,NA,NA,0.30577613445099566,NA,NA,NA,NA,1.9397484613049325,NA,NA,NA,4,-31.86174856891403,71.91861908904758,1.4793265553367405,0.0268792645115419
-2.5995452183554346,NA,NA,NA,0.6054814657482837,NA,NA,NA,1.6489679433797932,0.2554450418121641,NA,NA,5,-30.878351785783764,72.05082121862635,1.6115286849155126,0.02515996620353
-2.6177399299845083,NA,NA,NA,0.8649694060381279,NA,0.22570441762764112,NA,1.627503038919695,NA,NA,NA,5,-30.939067620512166,72.17225288808315,1.7329603543723096,0.0236778083712069
-2.703168990987285,NA,NA,NA,NA,0.6208146152732497,NA,NA,1.7443093581931697,0.2685865995621637,NA,NA,5,-30.96783278735134,72.22978322176151,1.7904906880506672,0.0230064149290993
-2.6648490395818474,NA,NA,NA,0.8589346472120675,NA,NA,NA,1.398889502319327,NA,NA,0.22703180395300376,5,-31.020761019839274,72.33563968673737,1.8963471530265252,0.0218203900165436
-2.676163147913221,NA,NA,NA,0.9189491926083994,NA,NA,0.2198127823671266,1.54527557383139,NA,NA,NA,5,-31.04066145481564,72.37544055669011,1.9361480229792676,0.0213904469795907
-2.6214316030675953,NA,NA,0.10862757423059115,0.7661987298620734,NA,NA,NA,1.56066567629598,NA,NA,NA,5,-31.063962557638483,72.42204276233579,1.9827502286249512,0.020897788013911
-2.335895061439715,+,NA,NA,NA,NA,NA,NA,1.9660118639095296,NA,NA,NA,4,-32.11755970421262,72.43024135964475,1.9909488259339128,0.0208122970857648
-2.552205613945917,+,NA,NA,0.8088368615920352,NA,NA,NA,1.54458069392508,NA,NA,NA,5,-31.09043186455163,72.47498137616208,2.0356888424512363,0.0203518946307202
-2.6409597580681607,NA,0.1212944569846176,NA,0.9051822467257686,NA,NA,NA,1.4422302685560047,NA,NA,NA,5,-31.10079638728752,72.49571042163386,2.0564178879230184,0.0201420463234247
-2.6285335063041613,NA,NA,NA,0.8582118522987359,NA,NA,NA,1.509222396194096,NA,0.026746262368938525,NA,5,-31.12105269934021,72.53622304573925,2.0969305120284076,0.0197381473104378
-2.7792533090617706,NA,NA,NA,NA,0.9142481817716688,0.1317237793282579,NA,1.7149731894005211,NA,NA,NA,5,-31.164818649587627,72.62375494623407,2.1844624125232315,0.0188929195476252
-2.763985377576611,NA,NA,0.1088344767035602,NA,0.8245122032691702,NA,NA,1.669071729083006,NA,NA,NA,5,-31.171877790509825,72.63787322807848,2.198580694367635,0.0187600213913887
-2.7856058315029006,NA,-0.13239818641901985,NA,NA,0.941460398236486,NA,NA,1.7152522793817044,NA,NA,NA,5,-31.19930226226173,72.69272217158229,2.2534296378714487,0.0182525283852759
-2.7863103294627267,NA,NA,NA,NA,0.9644939043895691,NA,-0.09414104293065967,1.6235211156356448,NA,NA,NA,5,-31.21304477045702,72.72020718797286,2.28091465426202,0.0180034085506875
-2.5373424927967605,NA,NA,NA,NA,NA,0.18010457980752317,NA,2.0555756321906173,0.432888979851819,NA,NA,5,-31.2167991354655,72.72771591798983,2.2884233842789854,0.0179359439062857
-2.805739195703167,NA,NA,NA,NA,0.9398891374465801,NA,NA,1.607060808776317,NA,0.07504782933998608,NA,5,-31.220468167668386,72.7350539823956,2.2957614486847575,0.0178702569280124
-2.74681075344043,+,NA,NA,NA,0.9063866442316386,NA,NA,1.6553363690323588,NA,NA,NA,5,-31.220894094764958,72.73590583658874,2.296613302877901,0.0178626471220904
-2.80065441407779,NA,NA,NA,NA,0.9373350082551059,NA,NA,1.627725106133877,NA,NA,0.04003865932157709,5,-31.22609874053531,72.74631512812944,2.307022594418598,0.0177699198868244
-2.5221445447457196,NA,NA,NA,NA,NA,0.20506410911080528,NA,2.0729241943318684,NA,NA,NA,4,-32.307913310593264,72.81094857240603,2.3716560386951926,0.0172048343584578
-2.561499997841207,NA,NA,NA,NA,NA,NA,NA,1.8237238437492096,NA,NA,0.2534075956031879,4,-32.32625287654365,72.8476277043068,2.4083351705959615,0.0168921808916109
-2.5287789791908346,NA,NA,NA,NA,NA,NA,-0.10097806589319969,1.951594867138117,0.45060595484694516,NA,NA,5,-31.309828224818112,72.91377409669505,2.4744815629842094,0.0163426401053485
-2.48492583293701,+,NA,NA,NA,NA,NA,NA,1.9654669563762053,0.4134822473335733,NA,NA,5,-31.310884146658555,72.91588594037593,2.4765934066650885,0.0163253926623093
