"Country","sciname","Abundance","FeedingType","Trophic.group","Water.column","Diel.Activity","Habitat","Trophic.Level","genus.x","species.x","sciname2","class","family","genus.y","infraclass","infraorder","kingdom","order","phylum","species.y","subclass","subfamily","suborder","subphylum","superclass","superfamily","superkingdom","superorder","tribe"
"Australia (QLD2)","Acanthurus sp.",11,NA,NA,NA,NA,NA,NA,"Acanthurus","","Acanthurus ","Actinopteri","Acanthuridae","Acanthurus","Teleostei",NA,"Metazoa","Acanthuriformes","Chordata",NA,"Neopterygii","Acanthurinae",NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Australia (QLD2)","Amblygobius sp.",4,NA,NA,NA,NA,NA,NA,"Amblygobius","","Amblygobius ","Actinopteri","Gobiidae","Amblygobius","Teleostei",NA,"Metazoa","Gobiiformes","Chordata",NA,"Neopterygii","Gobiinae","Gobioidei","Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Australia (QLD2)","Arothron sp.",1,NA,NA,NA,NA,NA,NA,"Arothron","","Arothron ","Actinopteri","Tetraodontidae","Arothron","Teleostei",NA,"Metazoa","Tetraodontiformes","Chordata",NA,"Neopterygii",NA,"Tetraodontoidei","Craniata","Actinopterygii","Tetradontoidea","Eukaryota",NA,NA
"Australia (QLD2)","Caesio sp.",6,NA,NA,NA,NA,NA,NA,"Caesio","","Caesio ","Actinopteri","Lutjanidae","Caesio","Teleostei",NA,"Metazoa","Lutjaniformes","Chordata",NA,"Neopterygii","Caesioninae",NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Australia (QLD2)","Carangoides fulvoguttatus",13,"hunting macrofauna (predator)",NA,NA,NA,NA,4.43,"Carangoides","fulvoguttatus","Carangoides fulvoguttatus","Actinopteri","Carangidae","Carangoides","Teleostei",NA,"Metazoa","Carangiformes","Chordata","Carangoides fulvoguttatus","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Australia (QLD2)","Carcharhinus melanopterus",21,"hunting macrofauna (predator)",NA,NA,NA,NA,3.94,"Carcharhinus","melanopterus","Carcharhinus melanopterus","Chondrichthyes","Carcharhinidae","Carcharhinus","Selachii",NA,"Metazoa","Carcharhiniformes","Chordata","Carcharhinus melanopterus","Elasmobranchii",NA,NA,"Craniata",NA,NA,"Eukaryota","Galeoidea",NA
"Australia (QLD2)","Chaetodon auriga",8,"hunting macrofauna (predator)",NA,NA,NA,NA,3.69,"Chaetodon","auriga","Chaetodon auriga","Actinopteri","Chaetodontidae","Chaetodon","Teleostei",NA,"Metazoa","Chaetodontiformes","Chordata","Chaetodon auriga","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Australia (QLD2)","Chelio inermis",4,NA,NA,NA,NA,NA,NA,"Chelio","inermis","Chelio inermis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia (QLD2)","Coris caudimacula",38,"hunting macrofauna (predator)",NA,NA,NA,NA,3.38,"Coris","caudimacula","Coris caudimacula","Actinopteri","Labridae","Coris","Teleostei",NA,"Metazoa","Labriformes","Chordata","Coris caudimacula","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
"Australia (QLD2)","Coris pictoides",10,NA,NA,NA,NA,NA,NA,"Coris","pictoides","Coris pictoides","Actinopteri","Labridae","Coris","Teleostei",NA,"Metazoa","Labriformes","Chordata","Coris pictoides","Neopterygii",NA,NA,"Craniata","Actinopterygii",NA,"Eukaryota",NA,NA
