Lat,Long,Institution,Site.Name,Seagrass.Unveg,
-38.193552,144.711297,Deakin University,NA,NA,
-38.19355,144.7113,NA,Edwards Point,Seagrass,
-38.19355,144.7113,NA,Edwards Point,Unveg,
-38.180151,144.715595,Deakin University,NA,NA,
-38.18015,144.7156,NA,St. Leonards,Seagrass,
-38.18015,144.7156,NA,St. Leonards,Unveg,
-38.152773,144.716919,Deakin University,NA,NA,
-38.15277,144.71692,NA,Indented Head,Seagrass,
-38.15277,144.71692,NA,Indented Head,Unveg,
-35.09903,150.57948,University of New South Wales,NA,NA,
-33.84018,151.25313,University of New South Wales,NA,NA,
-32.380278,152.508889,University of New South Wales,Smiths_Lake_NSW,Seagrass,
-32.380278,152.508889,University of New South Wales,Smiths_Lake_NSW,Unveg,
-30.50648,153.02373,NA,Urunga Lagoon 1,Seagrass,
-30.50583,153.02362,Southern Cross University,NA,NA,
-30.50466,153.02372,Southern Cross University,NA,NA,
-30.50439,153.0238,Southern Cross University,NA,NA,
-30.5042,153.02395,NA,Urunga Lagoon 2,Unveg,
-30.5042,153.02395,NA,Urunga Lagoon 3,Unveg,
-30.5042,153.02395,NA,Urunga Lagoon 4,Unveg,
-30.5042,153.02395,NA,Urunga Lagoon 5,Unveg,
-30.5042,153.02395,NA,Urunga Lagoon 6,Unveg,
-30.5042,153.02395,NA,Urunga Lagoon 7,Unveg,
-30.5042,153.02395,NA,Urunga Lagoon 8,Unveg,
-30.5042,153.02395,NA,Urunga Lagoon 9,Unveg,
-30.298295,-71.605056,NA,Puerto Aldea (Chile),Unveg,
-30.298258,-71.605429,NA,Puerto Aldea (Chile),Unveg,
-30.29754,-71.607033,Universidad Catolica del Norte,NA,NA,
-30.293,-71.608228,Universidad Catolica del Norte,NA,NA,
-30.292541,-71.608146,NA,Puerto Aldea (Chile),Seagrass,
-27.494632,153.39706,Griffith University,NA,NA,no seine
-27.49408,153.397264,Griffith University,NA,NA,
-26.393508,153.055206,University of the Sunshine Coast,Noosa river,Seagrass,
-26.393508,153.055206,University of the Sunshine Coast,Noosa river,Unveg,
-25.307906,152.909319,University of the Sunshine Coast,Hervey Bay,Seagrass,
-25.307906,152.909319,University of the Sunshine Coast,Hervey Bay,Unveg,
-23.78863,-45.36364,University of Sao Paulo,Praia do Engenho,Seagrass,
-23.762,-45.34991,University of Sao Paulo,NA,NA,
-23.76199,-45.34991,NA,Praia do Barreiro,Unveg,
-20.02034,148.24826,James Cook University,Bowen,unveg,
-20.01734,148.25191,James Cook University,Bowen,Seagrass,
-16.7556,145.97476,James Cook University,NA,NA,sites very far from seining
-16.7556,145.97476,James Cook Univerity,NA,NA,
-16.75543,145.97242,James Cook University,NA,NA,
-16.75543,145.97292,James Cook University,NA,NA,
-16.75542,145.97292,James Cook University,NA,NA,
9.351617,-82.257759,Smithsonian Tropical Research Institute,NA,NA,no seine
9.351809,-82.257631,Smithsonian Tropical Research Institute,NA,NA,
10.06677,73.63355,Nature Conservation Foundation,NA,NA,no seine
10.07013,73.63361,Nature Conservation Foundation,NA,NA,
19.82687,-87.45509,"ICML, Universidad Nacional Autonoma de Mexico",NA,NA,
19.8271,-87.45401,"ICML, Universidad Nacional Autonoma de Mexico",NA,NA,
19.82721,-87.45526,"ICML, Universidad Nacional Autonoma de Mexico",NA,NA,
19.82738,-87.45408,"ICML, Universidad Nacional Autonoma de Mexico",NA,NA,
20.83433,-86.87647,"ICML, Universidad Nacional Autonoma de Mexico",NA,NA,
20.8347,-86.87654,"ICML, Universidad Nacional Autonoma de Mexico",NA,NA,
27.37951,-97.17278,Texas A&M University - Corpus Christi,NA,NA,
27.37981,-97.17288,Texas A&M University - Corpus Christi,NA,NA,
27.37984,-97.17288,Texas A&M University - Corpus Christi,NA,NA,
27.37985,-97.17283,Texas A&M University - Corpus Christi,NA,NA,
27.42443,-97.19447,Texas A&M University - Corpus Christi,NA,NA,
27.42446,-97.19337,Texas A&M University - Corpus Christi,NA,NA,
27.42466,-97.19377,Texas A&M University - Corpus Christi,NA,NA,
27.53467,-97.06697,Texas A&M University - Corpus Christi,NA,NA,
27.53467,-97.06679,Texas A&M University - Corpus Christi,NA,NA,
27.53477,-97.06673,Texas A&M University - Corpus Christi,NA,NA,
27.53546,-80.347016,SMSFP,NA,NA,no seine
27.536592,-80.34928,SMSFP,NA,NA,
