Country,Site.Name,sciName,totalCount,family,feeding,trophic,waterColumn,diel,habitatRLS,eat.squid,phylum,method
Mexico (ICML),NA,Acanthurus coeruleus,3,Acanthuridae,browsing on substrate,Browsing herbivore,Demersal,Day,coral,1,Chordata,video
Australia (QLD2),NA,Acanthurus sp.,11,Acanthuridae,NA,NA,NA,NA,NA,1,Chordata,seine
Australia (QLD2),NA,Zebrasoma scopas,10,Acanthuridae,browsing on substrate,Browsing herbivore,Demersal,Day,coral,1,Chordata,seine
Korea,Koje-Korea,Acropoma japonicum,97,Acropomatidae,selective plankton feeding,NA,pelagic non-site attached,NA,"water column, seagrass",0,Chordata,seine
USA (AK),Sunshine Cove,Blepsias cirrhosus,3,Agonidae,variable,,,,"rocky, vegitated",0,Chordata,seine
USA (WA2),False Bay,Nautichthys oculofasciatus,1,Agonidae,hunting macrofauna (predator),Omnivore,Demersal,Night,rock,0,Chordata,seine
Brazil,Praia do Barreiro,Albula vulpes,2,Albulidae,sorts prey from sediments (predator),Benthic invertivore; occasionally eating benthic fish,Demersal,Dawn (swimming); Night (feeding),sand / mud,1,Chordata,seine
Brazil,Praia do Engenho,Albula vulpes,9,Albulidae,sorts prey from sediments (predator),Benthic invertivore; occasionally eating benthic fish,Demersal,Dawn (swimming); Night (feeding),sand / mud,1,Chordata,seine
Australia (NSW2),Urunga Lagoon 1,Ambassis jacksoniensis,718,Ambassidae,selective plankton feeding,planktivore,pelagic site attached,night,"rock, seagrass, sand",0,Chordata,seine
Australia (QLD2),Hervey Bay,Ambassis marianus,40,Ambassidae,filtering plankton,planktivore,pelagic site attached,day,seagrass/mangroves,0,Chordata,seine
Australia (QLD2),Noosa river,Ambassis marianus,1260,Ambassidae,filtering plankton,planktivore,pelagic site attached,day,seagrass/mangroves,0,Chordata,seine
Australia (NSW),Smiths_Lake_NSW,Ambassis sp.,1189,Ambassidae,selective plankton feeding,planktivore,"?demersal, pelagic site attached",day,"coral, rock, seagrass, sand",0,Chordata,seine
Canada (QC),QC_Baie St-Ludger,Ammodytes americanus,3,Ammodytidae,selective plankton feeding,NA,NA,NA,NA,0,Chordata,seine
Canada (BC),Choked Sandspit,Ammodytes hexapterus,2,Ammodytidae,selective plankton feeding,Planktivore,Pelagic site attached,Day,sand,0,Chordata,seine
Wales,"Porthdinllaen, UK",Ammodytes tobianus,20,Ammodytidae,filtering plankton,NA,NA,NA,NA,0,Chordata,seine
USA (CA3),Elkhorn Slough,Aplysia californica,1,Aplysiidae,grazing on aquatic plants,scraping herbivore,benthic,NA,"seagrass, sand, seaweed, rock",0,Mollusca,seine
USA (FL),NA,Ariopsis felis,164,Ariidae,hunting macrofauna (predator),omnivore,benthic,NA,NA,1,Chordata,video
France,Bouzigues,Atherina boyeri,19,Atherinidae,hunting macrofauna (predator),,,,,0,Chordata,seine
France,NA,Atherina boyeri,1,Atherinidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Italy,NA,Atherina boyeri,2,Atherinidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,video
France,NA,Atherina boyeri,1,Atherinidae,NA,NA,NA,NA,NA,0,Chordata,seine
Croatia,CR-B-SvetiDuh,Atherina hepsetus,365,Atherinidae,hunting macrofauna (predator),Planktivore AND benthic invertivore,pelagic non-site attached,day,water column,0,Chordata,seine
Croatia,NA,Atherina hepsetus,6,Atherinidae,hunting macrofauna (predator),NA,NA,NA,NA,0,Chordata,seine
Croatia,CR-B-SvetiDuh,Atherina hepsetus REDUNDANT,1,Atherinidae,hunting macrofauna (predator),,,,,0,Chordata,seine
Wales,"Porthdinllaen, UK",Atherina presbyter,465,Atherinidae,selective plankton feeding,NA,NA,NA,NA,0,Chordata,seine
Wales,NA,Atherina presbyter,3,Atherinidae,selective plankton feeding,NA,NA,NA,NA,0,Chordata,seine
Australia (QLD),Bowen,Atherinomorus endrachtensis,26,Atherinidae,selective plankton feeding,planktivore,pelagic non-site attached,Day,"sand, seagrass",0,Chordata,seine
Australia (QLD3),Moreton_Bay,Atherinomorus vaigiensis,176,Atherinidae,variable,NA,NA,NA,NA,0,Chordata,seine
Australia (QLD3),Moreton_Bay,Atherinomorus vaigiensis,176,Atherinidae,variable,Planktivore/benthic invertivore,pelagic site attached,Night,water column,0,Chordata,seine
Australia (NSW),Smiths_Lake_NSW,Atherinosoma microstoma,68,Atherinidae,selective plankton feeding,planktivore,demersal,day,"seagrass, sand",0,Chordata,seine
Australia (VIC),Edwards Point,Atherinosoma microstoma,5,Atherinidae,hunting macrofauna (predator),Benthic invertivore,benthic,Day,sand,0,Chordata,seine
Australia (VIC),Indented Head,Atherinosoma microstoma,15,Atherinidae,hunting macrofauna (predator),Benthic invertivore,benthic,Day,sand,0,Chordata,seine
Brazil,Praia do Barreiro,Atherinella brasiliensis,2,Atherinopsidae,selective plankton feeding; ocasional benthic consumer (omnivore),Planktivore; benthic invertivore,Mostly pelagic; coastal and estuarine,Day,water column; shallow; over soft-bottoms of different kinds,0,Chordata,seine
Brazil,Praia do Engenho,Atherinella brasiliensis,2,Atherinopsidae,selective plankton feeding; ocasional benthic consumer (omnivore),Planktivore; benthic invertivore,Mostly pelagic; coastal and estuarine,Day,water column; shallow; over soft-bottoms of different kind,0,Chordata,seine
Mexico (BN),Punta Banda Estuary,Atherinops affinis,130,Atherinopsidae,Selective plankton feeding,Planktivore,Pelagic non-site attached,Day,Sand,0,Chordata,seine
USA (CA),San Diego,Atherinops affinis,899,Atherinopsidae,selective plankton feeding,NA,NA,NA,NA,0,Chordata,seine
USA (CA2),Windy Cove,Atherinops affinis,214,Atherinopsidae,selective plankton feeding,NA,NA,NA,NA,0,Chordata,seine
USA (CA3),Elkhorn Slough,Atherinops affinis,1,Atherinopsidae,selective plankton feeding,planktivore,pelagic site attached,NA,water column,0,Chordata,seine
USA (OR),OIMB-Valino-SSNERR,Atherinops affinis,15,Atherinopsidae,selective plankton feeding,,,,,0,Chordata,seine
