"Country","omnisum","herbsum","omnirich","herbrich","omniprop","herbprop"
"Australia (NSW)",3,3,14,14,0.214285714285714,0.214285714285714
"Australia (NSW2)",4,7,19,19,0.210526315789474,0.368421052631579
"Australia (QLD)",0,2,15,15,0,0.133333333333333
"Australia (QLD2)",2,6,23,23,0.0869565217391304,0.260869565217391
"Australia (QLD3)",4,8,30,30,0.133333333333333,0.266666666666667
"Australia (VIC)",1,1,12,12,0.0833333333333333,0.0833333333333333
"Brazil",2,0,12,12,0.166666666666667,0
"Canada (BC)",2,2,21,21,0.0952380952380952,0.0952380952380952
"Canada (QC)",0,0,1,1,0,0
"Chile",5,3,16,16,0.3125,0.1875
"Croatia",7,4,16,16,0.4375,0.25
"France",4,2,10,10,0.4,0.2
"Italy",1,2,4,4,0.25,0.5
"Korea",0,0,17,17,0,0
"Mexico (BN)",4,1,15,15,0.266666666666667,0.0666666666666667
"Mexico (ICML)",1,2,5,5,0.2,0.4
"Mexico (ICML2)",0,0,0,0,NA,NA
"Norway",0,0,10,10,0,0
"USA (AK)",2,2,9,9,0.222222222222222,0.222222222222222
"USA (CA)",1,1,8,8,0.125,0.125
"USA (CA2)",4,3,11,11,0.363636363636364,0.272727272727273
"USA (CA3)",5,3,17,17,0.294117647058824,0.176470588235294
"USA (DE)",1,0,2,2,0.5,0
"USA (FL)",3,3,7,7,0.428571428571429,0.428571428571429
"USA (MA)",0,0,6,6,0,0
"USA (NC)",9,4,21,21,0.428571428571429,0.19047619047619
"USA (NC2)",1,0,2,2,0.5,0
"USA (OR)",3,2,9,9,0.333333333333333,0.222222222222222
"USA (TX)",6,4,11,11,0.545454545454545,0.363636363636364
"USA (VA)",2,1,3,3,0.666666666666667,0.333333333333333
"USA (VA2)",2,1,9,9,0.222222222222222,0.111111111111111
"USA (WA)",0,1,7,7,0,0.142857142857143
"USA (WA2)",1,1,11,11,0.0909090909090909,0.0909090909090909
"Wales",1,1,6,6,0.166666666666667,0.166666666666667
