family,taxa,sites,habs,seagrass,CAP1
Acanthuridae,3,2,2,1,0.022790704172060514
Acropomatidae,1,1,2,1,-0.009015381965482228
Agonidae,2,2,2,1,-0.04203455953317091
Albulidae,1,1,2,1,-0.02605905293562193
Ambassidae,3,3,2,1,0.23997574226905524
Ammodytidae,3,3,2,1,-0.048112636325398826
Ariidae,1,1,2,1,0.030144892519342627
Arripidae,1,1,1,0,0.029967411841597735
Atherinidae,6,8,2,1,0.12396356900475972
Atherinopsidae,6,11,2,1,-0.14706330213878693
Aulorhynchidae,1,3,1,1,-0.041681477274289676
Aulostomidae,1,1,1,1,0.05805885167069771
Balistidae,2,1,2,1,-0.0258861404946441
Batrachoididae,1,1,2,1,0.07637088560443865
Belonidae,2,3,2,1,-0.03905115670429983
Blenniidae,9,9,2,1,0.008092042989770447
Caesionidae,1,1,1,1,0.03681364848437804
Callionymidae,3,3,2,1,0.02096730441074738
Cancridae,7,7,2,1,-0.16367595167918972
Carangidae,8,4,2,1,-0.012762618462833135
Carcharhinidae,1,1,2,1,0.06678106032597579
Chaetodontidae,1,1,1,0,0.029967411841597735
Cheilodactylidae,1,1,1,1,-0.01385119515151095
Clinidae,2,3,2,1,-0.05928847069699044
Clupeidae,9,7,2,1,-0.1050746576384122
Cottidae,16,12,2,1,-0.17956296701580704
Crangonidae,3,4,2,1,-0.06813337578582553
Cyclopteridae,1,2,1,1,-0.02791250868329668
Cyprinodontidae,2,2,2,1,-0.0270404532318491
Diodontidae,2,3,1,1,0.031021614682678007
Echeneidae,1,1,1,0,0.029967411841597735
Eleotridae,1,1,1,1,0.05560416899939587
Elopidae,1,1,1,0,-0.005783754485679486
Embiotocidae,13,8,2,1,-0.1719291234403397
Engraulidae,3,3,2,1,-0.03924681414899033
Epialtidae,2,3,1,1,-0.041669017324843426
Fistulariidae,1,1,1,1,0.024658038568937883
Fundulidae,6,4,2,1,0.032106425162208616
Gadidae,7,4,2,1,-0.06229103749152077
Gasterosteidae,8,5,2,1,-0.07486331604293003
Gerreidae,6,10,2,1,0.2462321937929597
Gobiesocidae,1,1,1,1,-0.012420854240342658
Gobiidae,26,18,2,1,0.09830059579285694
Haemulidae,6,5,2,1,0.12483146143298937
Hemiramphidae,9,7,2,1,0.2903275000426182
Hexagrammidae,4,2,2,1,-0.022915873660919503
Hippolytidae,1,1,2,1,-0.012938345762135536
Kyphosidae,2,2,2,1,0.03183217444088572
Labridae,25,10,2,1,0.031631251665018914
Lateolabracidae,1,1,2,1,-0.009015381965482228
Lethrinidae,6,3,2,1,0.0838500059259837
Liparidae,1,1,1,1,-0.013900491695437287
Loliginidae,2,2,2,1,0.017365359852873512
Lutjanidae,10,5,2,1,0.00679405894406047
Lysmatidae,1,1,1,1,-0.006853769078190359
Monacanthidae,6,7,2,1,0.19025761622908652
Monodactylidae,1,2,1,1,0.09487250015507574
Moronidae,1,2,2,1,-0.027403896820982293
Mugilidae,8,9,2,1,0.2529712539905447
Mullidae,4,5,2,1,0.09245919982182996
Muraenidae,1,1,1,1,0.04988826505060641
Nemipteridae,3,1,2,1,0.06678106032597579
Osmeridae,1,1,1,0,-0.013686691158046724
Ostraciidae,2,3,2,1,-0.06250000781866917
Ovalipidae,1,1,1,0,-0.013674999069772535
Paguridae,1,1,2,1,-0.027526194221283485
Palaemonidae,7,7,2,1,0.04138595571006616
Panopeidae,1,1,1,0,-0.005783754485679486
Paralichthyidae,9,9,2,1,-0.03862359686398864
Penaeidae,5,5,2,1,0.09360173334571355
Pholidae,6,6,2,1,-0.0924408141426825
Phycidae,1,1,2,1,-0.027691229013383306
Platycephalidae,3,4,2,1,0.008278093232735553
Pleuronectidae,9,8,2,1,-0.16489700411886105
Pomacentridae,2,2,2,1,0.03586532073828893
Portunidae,7,9,2,1,0.0034519173670422352
Processidae,1,1,2,1,-0.014102107469713578
Pseudomugilidae,1,1,1,1,0.05805885167069771
Rhinobatidae,1,1,1,1,-0.006853769078190359
Rhombosoleidae,1,1,1,0,-0.013653783566648205
Salangidae,1,1,2,1,-0.028021850101045853
Salmonidae,2,2,1,0,-0.027862301036814866
Sciaenidae,7,6,2,1,0.010706384068230717
Scyliorhinidae,1,1,1,1,0.006967292330785594
Sebastidae,4,3,2,1,-0.05006185394684282
Sepiidae,2,2,2,1,0.013949385754052055
Serranidae,7,6,2,1,0.04028098717744394
Siganidae,4,3,2,1,0.0838500059259837
Sillaginidae,3,6,2,1,0.2271493965462256
Soleidae,2,2,1,0,0.05953837269601341
Sparidae,14,10,2,1,0.41364059130744385
Sphyraenidae,3,5,2,1,0.06379502914686354
Stichaeidae,1,1,1,1,-0.013900491695437287
Syngnathidae,14,18,2,1,-0.12072148270557641
Synodontidae,3,3,2,1,0.037014602623470665
Terapontidae,3,5,2,1,0.22707727602746547
Tetraodontidae,10,9,2,1,0.1921537045394634
Tetrarogidae,2,4,2,1,0.18527982684885355
Trachinidae,1,1,1,0,-0.013301789351268734
Trichechidae,1,1,1,0,0.023060776101479254
Triglidae,2,2,2,1,-0.009525632302558297
Urotrygonidae,1,1,1,1,-0.011863196182326582
Varunidae,1,3,2,1,-0.026326462126715838
