Country,Site,meanLat,meanLong
Australia (NSW),NSW2,-32.380278,152.508889
Australia (NSW1.1),NSW4,-35.09903,150.57948
Australia (NSW1.2),NSW3,-33.84018,151.25313
Australia (NSW2),NSW1,-30.505112,153.023764
Australia (QLD),QLD2,-20.01884,148.250085
Australia (QLD2),QLD3,-25.850707,152.9822625
Australia (QLD3),QLD4,-27.494748,153.3970614
Australia (QLD4),QLD1,-16.75547,145.973255
Australia (VIC),VIC,-38.17549067,144.7146057
Belize,Belize,16.80254722,-88.08194444
Brazil,Brazil,-23.77087333,-45.35448667
Canada (BC),BC,51.67889333,-128.118861
Canada (QC),QC,49.0885025,-68.3224425
Chile,Chile,-30.2959268,-71.6067784
Croatia,Croatia,44.20446025,15.47277313
France,France,43.447124,3.666644
India,India,10.06845,73.63358
Ireland,Ireland,54.5282665,-5.5733915
Italy,Italy,43.06767175,9.8312325
Korea,Korea,34.72863333,128.6047
Mexico (BN),Baja,31.75306775,-116.6254988
Mexico (ICML),Yuca2,20.834515,-86.876505
Mexico (ICML2),Yuca1,19.82714,-87.45461
Norway,Norway,67.214334,15.007534
Panama,Panama,9.351713,-82.257695
USA (AK),AK,58.60856,-134.931805
USA (CA),CA,32.76524175,-117.2465335
USA (CA2),CA2,35.3498195,-120.8443089
USA (CA3),CA3,36.809972,-121.7826685
USA (DE),DE,38.472539,-75.9491
USA (FL),FL,27.536026,-80.348148
USA (MA),MA,42.420327,-70.915676
USA (NC),NC,34.69075,-76.62222
USA (NC2),NC2,34.7004,-76.8335
USA (OR),OR,43.315198,-124.3206435
USA (TX),TX,27.57701933,-97.20710267
USA (VA),VA,37.215796,-76.392675
USA (VA2),VA2,37.68397667,-75.866725
USA (WA),WA,47.34852222,-122.3248889
USA (WA2),WA2,48.48532472,-123.07541
Wales,Wales,52.9420175,-4.565145
USA (CA4),CA4,38.3188335,-123.054028
