"","functional_group_name","year","fishing_entity_name","taxon_scientific_name","commercial_group_id","commercial_group_name","catch_status","catch_sum","cell_id","reporting_status_name","taxon_common_name","sector_type_name","fishing_entity_id","functional_group_id","sector_type_id","reporting_status","catch_status_name","taxon_key"
"1","pelagiclg",2010,"USA","Coryphaena hippurus",3,"Perch-likes","R",0.0518212605889705,78598,"Reported","Common dolphinfish","Artisanal",187,3,3,"R","Landings",600006
"2","pelagiclg",2010,"USA","Coryphaena hippurus",3,"Perch-likes","R",0.0949947018080261,78599,"Reported","Common dolphinfish","Artisanal",187,3,3,"R","Landings",600006
"3","pelagiclg",2010,"USA","Coryphaena hippurus",3,"Perch-likes","R",0.00789144854641647,78598,"Unreported","Common dolphinfish","Recreational",187,3,4,"U","Landings",600006
"4","pelagiclg",2010,"USA","Coryphaena hippurus",3,"Perch-likes","R",0.0144659893059369,78599,"Unreported","Common dolphinfish","Recreational",187,3,4,"U","Landings",600006
"5","pelagicmd",2010,"USA","Sarda chiliensis",4,"Tuna & billfishes","D",0.021037720360846,78598,"Unreported","Eastern Pacific bonito","Recreational",187,2,4,"U","Discards",600113
"6","pelagicmd",2010,"USA","Sarda chiliensis",4,"Tuna & billfishes","D",0.0329938870777078,78599,"Unreported","Eastern Pacific bonito","Recreational",187,2,4,"U","Discards",600113
"7","pelagiclg",2010,"USA","Kajikia audax",4,"Tuna & billfishes","R",0.0626116670413872,78599,"Unreported","Striped marlin","Recreational",187,3,4,"U","Landings",600223
"8","pelagiclg",2010,"USA","Kajikia audax",4,"Tuna & billfishes","R",0.0849595879547477,78598,"Unreported","Striped marlin","Recreational",187,3,4,"U","Landings",600223
"9","pelagiclg",2010,"USA","Kajikia audax",4,"Tuna & billfishes","D",0.0041773354553369,78599,"Unreported","Striped marlin","Recreational",187,3,4,"U","Discards",600223
"10","pelagiclg",2010,"USA","Kajikia audax",4,"Tuna & billfishes","D",0.00566834770266672,78598,"Unreported","Striped marlin","Recreational",187,3,4,"U","Discards",600223
"11","pelagiclg",2010,"USA","Thunnus obesus",4,"Tuna & billfishes","R",0.332287100617453,78598,"Reported","Bigeye tuna","Artisanal",187,3,3,"R","Landings",600146
