"","functional_group_name","year","fishing_entity_name","taxon_scientific_name","commercial_group_id","commercial_group_name","catch_status","catch_sum","cell_id","reporting_status_name","taxon_common_name","sector_type_name","fishing_entity_id","functional_group_id","sector_type_id","reporting_status","catch_status_name","taxon_key"
"1","sharklg",2010,"India","Chondrichthyes",9,"Sharks & rays","D",12.9957459502441,115707,"Unreported","Sharks, rays, chimaeras","Industrial",82,20,1,"U","Discards",200538
"2","sharklg",2010,"India","Chondrichthyes",9,"Sharks & rays","D",11.2790397862253,114988,"Unreported","Sharks, rays, chimaeras","Industrial",82,20,1,"U","Discards",200538
"3","sharklg",2010,"India","Chondrichthyes",9,"Sharks & rays","D",15.0212241918891,115708,"Unreported","Sharks, rays, chimaeras","Industrial",82,20,1,"U","Discards",200538
"4","pelagiclg",2010,"India","Coryphaena hippurus",3,"Perch-likes","R",11.3205839225587,115708,"Reported","Common dolphinfish","Industrial",82,3,1,"R","Landings",600006
"5","pelagiclg",2010,"India","Coryphaena hippurus",3,"Perch-likes","R",10.4387475556682,115707,"Reported","Common dolphinfish","Industrial",82,3,1,"R","Landings",600006
"6","pelagiclg",2010,"India","Coryphaena hippurus",3,"Perch-likes","R",11.3989030836027,114988,"Reported","Common dolphinfish","Industrial",82,3,1,"R","Landings",600006
"7","pelagiclg",2010,"India","Coryphaena hippurus",3,"Perch-likes","R",0.206580220035793,114988,"Reported","Common dolphinfish","Artisanal",82,3,3,"R","Landings",600006
"8","pelagiclg",2010,"India","Coryphaena hippurus",3,"Perch-likes","R",0.25091938921426,114988,"Reported","Common dolphinfish","Artisanal",82,3,3,"R","Landings",600006
"9","pelagiclg",2010,"India","Coryphaena hippurus",3,"Perch-likes","R",0.129994382363957,114988,"Reported","Common dolphinfish","Artisanal",82,3,3,"R","Landings",600006
"10","pelagiclg",2010,"India","Coryphaena hippurus",3,"Perch-likes","R",0.239834596919643,114988,"Reported","Common dolphinfish","Artisanal",82,3,3,"R","Landings",600006
