"","functional_group_name","year","fishing_entity_name","taxon_scientific_name","commercial_group_id","commercial_group_name","catch_status","catch_sum","cell_id","reporting_status_name","taxon_common_name","sector_type_name","fishing_entity_id","functional_group_id","sector_type_id","reporting_status","catch_status_name","taxon_key"
"1","pelagicsm",2010,"Australia","Monodactylus argenteus",3,"Perch-likes","R",0.109548580946005,179223,"Reported","Silver moony","Artisanal",7,1,3,"R","Landings",605807
"2","pelagiclg",2010,"Unknown Fishing Country","Coryphaena hippurus",3,"Perch-likes","D",0.0120506525657421,179223,"Unreported","Common dolphinfish","Industrial",213,3,1,"U","Discards",600006
"3","pelagiclg",2010,"Japan","Coryphaena hippurus",3,"Perch-likes","D",0.00620838864753772,179223,"Unreported","Common dolphinfish","Industrial",91,3,1,"U","Discards",600006
"4","pelagiclg",2010,"Indonesia","Coryphaena hippurus",3,"Perch-likes","D",0.00525239579235678,179223,"Unreported","Common dolphinfish","Industrial",83,3,1,"U","Discards",600006
"5","pelagiclg",2010,"Australia","Coryphaena hippurus",3,"Perch-likes","R",0.0865451845912048,179223,"Reported","Common dolphinfish","Artisanal",7,3,3,"R","Landings",600006
"6","pelagiclg",2010,"Australia","Coryphaena hippurus",3,"Perch-likes","R",0.221571553334108,179223,"Reported","Common dolphinfish","Industrial",7,3,1,"R","Landings",600006
"7","pelagiclg",2010,"Unknown Fishing Country","Kajikia audax",4,"Tuna & billfishes","R",0.122857571324464,179223,"Reported","Striped marlin","Industrial",213,3,1,"R","Landings",600223
"8","pelagiclg",2010,"USA","Kajikia audax",4,"Tuna & billfishes","R",0.0159860170149211,179223,"Reported","Striped marlin","Industrial",187,3,1,"R","Landings",600223
"9","pelagiclg",2010,"Japan","Kajikia audax",4,"Tuna & billfishes","R",0.0138620007681833,179223,"Reported","Striped marlin","Industrial",91,3,1,"R","Landings",600223
"10","pelagiclg",2010,"Japan","Kajikia audax",4,"Tuna & billfishes","R",0.129341410393453,179223,"Reported","Striped marlin","Industrial",91,3,1,"R","Landings",600223
"11","pelagiclg",2010,"Japan","Kajikia audax",4,"Tuna & billfishes","R",0.100499505569329,179223,"Reported","Striped marlin","Industrial",91,3,1,"R","Landings",600223
"12","pelagiclg",2010,"Indonesia","Kajikia audax",4,"Tuna & billfishes","R",0.0253764046320776,179223,"Reported","Striped marlin","Industrial",83,3,1,"R","Landings",600223
"13","pelagiclg",2010,"Australia","Kajikia audax",4,"Tuna & billfishes","R",0.027612211207591,179223,"Reported","Striped marlin","Industrial",7,3,1,"R","Landings",600223
"14","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.141491517753738,179223,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"15","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.027167774465026,179223,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"16","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.0375013797652976,179223,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"17","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.0249763737353747,179223,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"18","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.339998911554876,179223,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"19","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",0.108419167146476,179223,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"20","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","D",0.0186255111964489,179223,"Unreported","Bluefish","Industrial",7,3,1,"U","Discards",600364
"21","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",7.85173393196358,179223,"Unreported","Bluefish","Recreational",7,3,4,"U","Landings",600364
"22","pelagiclg",2010,"Australia","Pomatomus saltatrix",3,"Perch-likes","R",1.53565030537479,179223,"Reported","Bluefish","Artisanal",7,3,3,"R","Landings",600364
"23","sharklg",2010,"Unknown Fishing Country","Carcharhinus longimanus",9,"Sharks & rays","D",5.75316933028135e-05,179223,"Unreported","Oceanic whitetip shark","Industrial",213,20,1,"U","Discards",600875
"24","sharklg",2010,"Unknown Fishing Country","Carcharhinus longimanus",9,"Sharks & rays","R",3.39387597985871e-05,179223,"Reported","Oceanic whitetip shark","Industrial",213,20,1,"R","Landings",600875
"25","sharklg",2010,"Indonesia","Carcharhinus longimanus",9,"Sharks & rays","D",1.65495668858605e-05,179223,"Unreported","Oceanic whitetip shark","Industrial",83,20,1,"U","Discards",600875
"26","sharklg",2010,"Australia","Carcharhinus longimanus",9,"Sharks & rays","R",2.14002010851846e-06,179223,"Reported","Oceanic whitetip shark","Industrial",7,20,1,"R","Landings",600875
"27","sharklg",2010,"Australia","Carcharhinus longimanus",9,"Sharks & rays","R",2.21336949213331e-06,179223,"Reported","Oceanic whitetip shark","Industrial",7,20,1,"R","Landings",600875
"28","pelagiclg",2010,"Unknown Fishing Country","Katsuwonus pelamis",4,"Tuna & billfishes","R",0.0121270259995041,179223,"Reported","Skipjack tuna","Industrial",213,3,1,"R","Landings",600107
"29","pelagiclg",2010,"Unknown Fishing Country","Katsuwonus pelamis",4,"Tuna & billfishes","D",0.000241362466020451,179223,"Unreported","Skipjack tuna","Industrial",213,3,1,"U","Discards",600107
"30","pelagiclg",2010,"Unknown Fishing Country","Katsuwonus pelamis",4,"Tuna & billfishes","D",0.000240721205625032,179223,"Unreported","Skipjack tuna","Industrial",213,3,1,"U","Discards",600107
"31","pelagiclg",2010,"Unknown Fishing Country","Katsuwonus pelamis",4,"Tuna & billfishes","D",0.00029544500652794,179223,"Unreported","Skipjack tuna","Industrial",213,3,1,"U","Discards",600107
"32","pelagiclg",2010,"USA","Katsuwonus pelamis",4,"Tuna & billfishes","R",0.00243235478500082,179223,"Reported","Skipjack tuna","Industrial",187,3,1,"R","Landings",600107
"33","pelagiclg",2010,"Japan","Katsuwonus pelamis",4,"Tuna & billfishes","D",3.13764961473906e-05,179223,"Unreported","Skipjack tuna","Industrial",91,3,1,"U","Discards",600107
