"","functional_group_name","year","fishing_entity_name","taxon_scientific_name","commercial_group_id","commercial_group_name","catch_status","catch_sum","cell_id","reporting_status_name","taxon_common_name","sector_type_name","fishing_entity_id","functional_group_id","sector_type_id","reporting_status","catch_status_name","taxon_key"
"1","pelagicsm",2010,"Australia","Monodactylus argenteus",3,"Perch-likes","R",0.00577111395079838,166987,"Reported","Silver moony","Artisanal",7,1,3,"R","Landings",605807
"2","demersallg",2010,"Australia","Eleutheronema tetradactylum",3,"Perch-likes","R",0.0234664620618881,166987,"Reported","Fourfinger threadfin","Artisanal",7,6,3,"R","Landings",600340
"3","demersallg",2010,"Australia","Eleutheronema tetradactylum",3,"Perch-likes","R",0.0735900465671953,166987,"Reported","Fourfinger threadfin","Artisanal",7,6,3,"R","Landings",600340
"4","demersallg",2010,"Australia","Eleutheronema tetradactylum",3,"Perch-likes","R",0.00540593644215018,166987,"Reported","Fourfinger threadfin","Artisanal",7,6,3,"R","Landings",600340
"5","demersallg",2010,"Australia","Eleutheronema tetradactylum",3,"Perch-likes","R",0.00811687387657094,166987,"Reported","Fourfinger threadfin","Artisanal",7,6,3,"R","Landings",600340
"6","demersallg",2010,"Australia","Eleutheronema tetradactylum",3,"Perch-likes","R",0.00588024761275049,166987,"Reported","Fourfinger threadfin","Artisanal",7,6,3,"R","Landings",600340
"7","demersallg",2010,"Australia","Eleutheronema tetradactylum",3,"Perch-likes","R",0.0306247079813965,166987,"Reported","Fourfinger threadfin","Artisanal",7,6,3,"R","Landings",600340
"8","demersallg",2010,"Australia","Eleutheronema tetradactylum",3,"Perch-likes","R",0.36972106764342,166987,"Reported","Fourfinger threadfin","Artisanal",7,6,3,"R","Landings",600340
"9","benthopelagiclg",2010,"Australia","Lobotes surinamensis",3,"Perch-likes","R",0.000497285617349392,166987,"Reported","Tripletail","Artisanal",7,15,3,"R","Landings",601077
"10","pelagiclg",2010,"Unknown Fishing Country","Coryphaena hippurus",3,"Perch-likes","D",0.0300535708166478,166987,"Unreported","Common dolphinfish","Industrial",213,3,1,"U","Discards",600006
"11","pelagiclg",2010,"Japan","Coryphaena hippurus",3,"Perch-likes","D",0.0141664083961495,166987,"Unreported","Common dolphinfish","Industrial",91,3,1,"U","Discards",600006
