"site.paired","Seagrass.Unveg","fish.abundance.mean","log10.fish.abundance.mean","fish.richness.seine.mean","log10.fish.richness.seine.mean","carnivore.abundance.mean","herbivore.abundance.mean","planktivore.abundance.mean","piscivore.abundance.mean","log10.carnivore.abundance.mean","log10.herbivore.abundance.mean","log10.planktivore.abundance.mean","log10.piscivore.abundance.mean","proportion.missing.1hr.mean","proportion.missing.24hr.mean","latitude","longitude","Data.Collector","latitude.absolute"
"Aransas Pass","vegetated",283.333333333333,2.35586616634637,10,0.99854506486585,96.3333333333333,0,187,0,1.98477066366602,0,1.86484171304534,0,0.0133333333333333,0.586666666666667,27.8911167,-97.1116167,"Meredith Diskin",27.8911167
"Aransas Pass","unvegetated",92.3333333333333,1.96162525347993,8,0.900810178815175,63,0,29.3333333333333,0,1.71824273581339,0,1.10034333188799,0,0.04,0.733333333333333,27.8911167,-97.1116167,"Meredith Diskin",27.8911167
"Bowen","vegetated",237.333333333333,2.371301978185,10,0.99409041101319,113.333333333333,123.666666666667,0,0.333333333333333,2.04007018370452,2.06013983756547,0,0.100343331887994,0.0133333333333333,0.4,-20.02034,148.24826,"Paul York",20.02034
"Bowen","unvegetated",104,1.94192810388279,4.33333333333333,0.625020421130567,95.3333333333333,0,8.66666666666667,0,1.9087199098974,0,0.754939274336512,0,0,0.866666666666667,-20.02034,148.24826,"Paul York",20.02034
"Choked","vegetated",136.666666666667,2.09457843539429,12.3333333333333,1.08890065562803,135,0,1.33333333333333,0,2.09023807676161,0,0.301029995663981,0,0,0.0144927536231884,51.676595,-128.123782,"Midoli Bresch",51.676595
"Choked","unvegetated",7.33333333333333,0.842113092463281,2,0.259383750127881,6.66666666666667,0,0.666666666666667,0,0.764085357118825,0,0.200686663775987,0,0.0266666666666667,0.0144927536231884,51.676595,-128.123782,"Midoli Bresch",51.676595
"CR-B-SvetiDuh","vegetated",612,2.78746047451842,11,1.04139268515823,595,0,0,0,2.77524625974024,0,0,0,0,0,44.20182,15.47361,"Claudia Kruschel",44.20182
"CR-B-SvetiDuh","unvegetated",278,2.4456042032736,11,1.04139268515823,277,0,0,0,2.44404479591808,0,0,0,0,1,44.20182,15.47361,"Claudia Kruschel",44.20182
"Moreton_Bay","vegetated",133,2.11339408979427,11,1.03753500051152,90.3333333333333,1.66666666666667,39.3333333333333,1.66666666666667,1.95157579211132,0.333333333333333,1.27784319391955,0.401373327551975,0.533333333333333,1,-27.496161,153.396698,"Rod Connolly",27.496161
"Moreton_Bay","unvegetated",30.6666666666667,1.34639202812535,3,0.392030419685227,11,0,19.6666666666667,0,0.660757077679856,0,0.785978282333485,0,0.506666666666667,0.972222222222222,-27.496161,153.396698,"Rod Connolly",27.496161
"Dorothy Cove","vegetated",1.33333333333333,0.318080836479775,1.66666666666667,0.200686663775987,1.33333333333333,0,0,0,0.318080836479775,0,0,0,0,0.0933333333333333,42.42026,-70.91574,"Amelia Weiss",42.42026
"Dorothy Cove","unvegetated",2.33333333333333,0.492373751573221,1.66666666666667,0.200686663775987,2.33333333333333,0,0,0,0.492373751573221,0,0,0,0,0.0666666666666667,42.42026,-70.91574,"Amelia Weiss",42.42026
"Edwards Point","vegetated",224.666666666667,1.72674686698525,6,0.741769760575288,214,1.66666666666667,0,0,1.67876981457481,0.259383750127881,0,0,0.0666666666666667,0.34031746031746,-38.193552,144.711297,"Holger Janes",38.193552
"Edwards Point","unvegetated",20.3333333333333,1.26644684981786,3.66666666666667,0.460070413903869,18.6666666666667,0,0,0,1.22480060428176,0,0,0,0.0133333333333333,0.107222222222222,-38.193552,144.711297,"Holger Janes",38.193552
"Elkhorn Slough","vegetated",10.3333333333333,0.810454588052996,3.66666666666667,0.460070413903869,10.3333333333333,0,0,0,0.810454588052996,0,0,0,0,0.931111111111111,36.809236,-121.783232,"B. Hughes",36.809236
"Elkhorn Slough","unvegetated",5.66666666666667,0.77407309824464,3.33333333333333,0.501716659439969,3.33333333333333,0,0.666666666666667,0,0.5827293423354,0,0.200686663775987,0,0,0.0138888888888889,36.809236,-121.783232,"B. Hughes",36.809236
"False Bay","vegetated",825.333333333333,2.46250717287697,7.66666666666667,0.883759337999381,810,0,15.3333333333333,0,2.4081193814076,0,1.14378792138633,0,0,0.0272222222222222,48.48532472,-123.07541,"Olivia Graham",48.48532472
"False Bay","unvegetated",248.333333333333,2.08687742258272,4.66666666666667,0.619110832143756,247.666666666667,0,0.666666666666667,0,2.08640510625085,0,0.159040418239887,0,0,0.0694444444444444,48.48532472,-123.07541,"Olivia Graham",48.48532472
"Goodwin Island","vegetated",22,1.36172783601759,2,0.301029995663981,3,0,0,19,0.602059991327962,0,0,1.30102999566398,0.4,0.88,37.215796,-76.392675,"JSL",37.215796
"Hervey Bay","vegetated",36.3333333333333,1.56156725649503,3.66666666666667,0.560413745791862,23,0,13.3333333333333,0,1.34914354671851,0,1.14987755015669,0,0.4,0.933333333333333,-25.307906,152.909319,"Christopher Henderson",25.307906
"Hervey Bay","unvegetated",18.3333333333333,1.26580201655879,3,0.477121254719662,16.3333333333333,0,2,0,1.19776202234015,0,0.281699346671419,0,0.133333333333333,0.906666666666667,-25.307906,152.909319,"Christopher Henderson",25.307906
"Indented Head","vegetated",26.6666666666667,1.39991839241782,4,0.592717083461215,24,1.66666666666667,0,0,1.37086833384486,0.259383750127881,0,0,0,0.0504761904761905,-38.152773,144.716919,"Holger Janes",38.152773
"Indented Head","unvegetated",26.6666666666667,1.4020233079134,2,0.259383750127881,26.6666666666667,0,0,0,1.4020233079134,0,0,0,0,0.08,-38.152773,144.716919,"Holger Janes",38.152773
"Koje-Korea","vegetated",134.5,2.1310831065256,14,1.14501730568126,107,0,26.5,0,2.02974384213722,0,1.19897000433602,0,0,0.38,34.7282,128.6047,"Hwi-june Song",34.7282
"Koje-Korea","unvegetated",126,2.05685471922475,11.5,1.06028696560293,98.5,0,26.5,0,1.97169778825448,0,1.23417366520608,0,0.16,1,34.7282,128.6047,"Hwi-june Song",34.7282
"Laguna Madre","vegetated",11.3333333333333,0.937191668623531,2,0.259383750127881,11.3333333333333,0,0,0,0.937191668623531,0,0,0,0.0266666666666667,0.752121212121212,27.6325167,-97.2879667,"Meredith Diskin",27.6325167
"Laguna Madre","unvegetated",2.66666666666667,0.534019997109321,1.66666666666667,0.200686663775987,1.33333333333333,0,1,0,0.301029995663981,0,0.200686663775987,0,0,0.68,27.6325167,-97.2879667,"Meredith Diskin",27.6325167
"NC","vegetated",129.333333333333,2.10465051373618,8.66666666666667,0.933113516484527,128.666666666667,0,0.333333333333333,0.333333333333333,2.10293730051871,0,0.100343331887994,0.100343331887994,0.893333333333333,0.986666666666667,34.69051,-76.62245,"Shelby Ziegler",34.69051
"NC","unvegetated",19.6666666666667,1.23534488690478,5.33333333333333,0.71945416403175,19.3333333333333,0,0.333333333333333,0,1.21302929036125,0,0.100343331887994,0,0.666666666666667,1,34.69051,-76.62245,"Shelby Ziegler",34.69051
"NN_Juvika","vegetated",34.3333333333333,1.46799265455645,5,0.660757077679856,34.3333333333333,0,0,0,1.46799265455645,0,0,0,NA,NA,67.214334,15.007534,"Amalia Mailli, Sofie Gundersen",67.214334
"NN_Juvika","unvegetated",27.6666666666667,1.40252683825514,2.33333333333333,0.359727082015875,27.6666666666667,0,0,0,1.40252683825514,0,0,0,NA,NA,67.214334,15.007534,"Amalia Mailli, Sofie Gundersen",67.214334
"Noosa river","vegetated",187.666666666667,2.18072595269189,6.66666666666667,0.819797495919744,28.3333333333333,4.33333333333333,154,0.333333333333333,1.38839498388867,0.547817558828729,2.09407613961002,0.100343331887994,0.96,1,-26.393508,153.055206,"Christopher Henderson",26.393508
"Noosa river","unvegetated",387.666666666667,2.56983030664436,4.66666666666667,0.651414169813108,121,0,266.666666666667,0,2.00327149901603,0,2.42010968286939,0,0.973333333333333,1,-26.393508,153.055206,"Christopher Henderson",26.393508
"OIMB-Valino-SSNERR","vegetated",47.6666666666667,1.67954800059919,4.66666666666667,0.666666666666667,47.3333333333333,0,0.333333333333333,0,1.67719404910336,0,0.100343331887994,0,0,0.0266666666666667,43.315013,-124.320361,"Galloway",43.315013
"OIMB-Valino-SSNERR","unvegetated",47.6666666666667,1.66322408254129,5,0.673729766356646,43,0,4.66666666666667,0,1.6092738092276,0,0.392030419685227,0,0,0.0933333333333333,43.315013,-124.320361,"Galloway",43.315013
"Oso Bay","vegetated",841,2.63752184298019,7.66666666666667,0.867353330442654,35.6666666666667,1.33333333333333,804,0,1.55748910435603,0.23299000144534,2.57791324068015,0,0.533809523809524,0.740476190476191,27.7073833,-97.3241167,"Meredith Diskin",27.7073833
"Oso Bay","unvegetated",801.666666666667,2.77647546581157,6.33333333333333,0.783416006111388,20.6666666666667,0,781,0,1.29168708779723,0,2.7559080396001,0,0.226666666666667,0.666666666666667,27.7073833,-97.3241167,"Meredith Diskin",27.7073833
"Pine Knoll Shores","vegetated",12.5,1.09092179397239,1.5,0.150514997831991,12.5,0,0,0,1.09092179397239,0,0,0,0.84,1.19318181818182,34.7004,-76.8335,"Lindsay Gaskins, Stacy Zhang",34.7004
"Porthdinllaen, UK","vegetated",280.666666666667,2.31800225611009,8.66666666666667,0.920140827807737,62,0,155.333333333333,0,1.57375820909036,0,1.98103023382175,0,0.186666666666667,1,52.94046,-4.56424,"Max Robinson",52.94046
"Porthdinllaen, UK","unvegetated",114,1.71038444291024,8,0.794605121993477,62.6666666666667,0,24.6666666666667,0,1.29736486756349,0,0.987140364688816,0,0,0.216811594202899,52.94046,-4.56424,"Max Robinson",52.94046
"Praia do Barreiro","unvegetated",30.6666666666667,1.22341528435804,3.33333333333333,0.492373751573221,3,0,27.6666666666667,0,0.592717083461215,0,1.08509083503444,0,0,0.0666666666666667,-23.76199,-45.34991,"Augusto A. V. Flores",23.76199
"Praia do Engenho","vegetated",32.6666666666667,1.50796315812683,5.33333333333333,0.72536375301856,24.3333333333333,0,8.33333333333333,0,1.38266177356127,0,0.566323334778673,0,0,0.329501915708812,-23.78863,-45.36364,"Augusto A. V. Flores",23.78863
"Puerto Aldea (Chile)","vegetated",11.3333333333333,1.05508144204177,2,0.301029995663981,1.33333333333333,10,0,0,0.359727082015875,0.984747503146442,0,0,0,0.0683333333333333,-30.298295,-71.605056,"Martin Thiel",30.298295
"Puerto Aldea (Chile)","unvegetated",489.333333333333,2.21756136344625,2.66666666666667,0.401373327551975,4,0,485.333333333333,0,0.619110832143756,0,1.89852220025886,0,0.0133333333333333,0.133333333333333,-30.298295,-71.605056,"Martin Thiel",30.298295
"Punta Banda Estuary","vegetated",82.3333333333333,1.91126096222465,6.33333333333333,0.800466846927181,59.3333333333333,0,23,0,1.76691949225143,0,1.2887624463614,0,0.253333333333333,0.866666666666667,31.75303,-116.62586,"Pablo Jorgensen",31.75303
"Punta Banda Estuary","unvegetated",94,1.8686790777245,7,0.81571934378074,23,0,71,0,1.35541712065632,0,1.68333095230671,0,0.0266666666666667,0.36,31.75303,-116.62586,"Pablo Jorgensen",31.75303
"QC_Baie St-Ludger","vegetated",122.666666666667,2.03210354020752,4,0.592717083461215,122,0,0.666666666666667,0,2.02889810738944,0,0.200686663775987,0,0,0,49.0891,-68.32311,"Maxime Larouche",49.0891
