"","x"
"1",113.881944444444
"2",108.43137254902
"3",107.238095238095
"4",135.361111111111
"5",81.0075757575758
"6",NA
"7",121.007575757576
"8",52.75
"9",166
"10",248.122222222222
"11",78.8214285714286
"12",8.90972222222222
"13",84.25
"14",NA
"15",185.566666666667
"16",86.2324561403509
"17",59.6458333333333
"18",141.607142857143
"19",26.0448717948718
"20",93.1851851851852
"21",104.260416666667
"22",90.6875
"23",245.534722222222
"24",105.708333333333
"25",22.4930555555556
"26",36.9761904761905
"27",37.8958333333333
"28",91.640350877193
"29",109.433333333333
"30",94.7916666666667
"31",117.461538461538
"32",116.071428571429
"33",135.657407407407
"34",63.8240740740741
"35",93.0059523809524
"36",85.4393939393939
"37",85.4583333333333
"38",50.2628205128205
"39",79.0238095238095
