family,eat.squid
Acanthuridae,1
Acropomatidae,0
Agonidae,0
Albulidae,1
Ambassidae,0
Ammodytidae,0
Aplysiidae,0
Ariidae,1
Atherinidae,0
Atherinopsidae,0
Aulorhynchidae,0
Aulostomidae,0
Balistidae,1
Batrachoididae,0
Belonidae,0
Blenniidae,1
Callionymidae,0
Cancridae,1
Carangidae,1
Carcharhinidae,1
Chaetodontidae,1
Channidae,1
Cheilodactylidae,1
Clinidae,1
Clupeidae,0
Cottidae,1
Crangonidae,1
Cyclopteridae,1
Cyprinodontidae,1
Diodontidae,1
Echeneidae,0
Eleotridae,1
Elopidae,1
Embiotocidae,1
Engraulidae,0
Epialtidae,1
Fistulariidae,0
Fundulidae,1
Gadidae,1
Gasterosteidae,0
Gerreidae,1
Gobiesocidae,1
Gobiidae,0
Haemulidae,1
Hemiramphidae,1
Hexagrammidae,1
Hippolytidae,0
Kyphosidae,0
Labridae,1
Lateolabracidae,1
Lethrinidae,1
Liparidae,0
Loliginidae,0
Caesionidae,1
Lutjanidae,1
Lysmatidae,0
Monacanthidae,0
Monodactylidae,1
Moronidae,1
Mugilidae,0
Mullidae,1
Muraenidae,1
Nemipteridae,1
Osmeridae,0
Ostraciidae,1
Ovalipidae,1
Paguridae,0
Palaemonidae,1
Panopeidae,1
Paralichthyidae,0
Penaeidae,1
Pholidae,0
Phycidae,1
Platycephalidae,0
Pleuronectidae,0
Pomacentridae,1
Portunidae,1
Processidae,0
Pseudomugilidae,0
Rhinobatidae,0
Rhombosoleidae,0
Salangidae,0
Salmonidae,1
Sciaenidae,1
Scyliorhinidae,1
Sebastidae,1
Sepiidae,0
Serranidae,1
Siganidae,0
Sillaginidae,1
Soleidae,0
Sparidae,1
Sphyraenidae,1
Stichaeidae,0
Syngnathidae,0
Synodontidae,0
Terapontidae,1
Tetraodontidae,1
Tetrarogidae,1
Trachinidae,1
Trichechidae,0
Triglidae,0
Urotrygonidae,1
Varunidae,1
Scaridae,1
