Country,habitat,sciName,Genus,family,length,biomass,abun,Site,rate,basin,coast,meanLat,meanLong,chlomax,chlomean,chlomin,chlorange,cloudmax,cloudmean,cloudmin,parmax,parmean,salinity,sstmax,sstmean,sstmin,sstrange,act,food,asp,tl,feed,troph,watercol,clim,body,snoutx,snouty,name
Canada (QC),Seagrass,Pungitius pungitius,Pungitius,Gasterosteidae,51,1.4618140199999998,1,QC,0,Atlantic,West,49.0885025,-68.3224425,39.8818004608154,16.5746002197266,2.19420001506805,37.6876007080078,0.793999993801117,0.67940000295639,0.603200006484985,47.8783996582031,35.2966003417969,26.8720001220703,14.0512001037598,5.31999998092651,-0.807399988174438,14.8585998535156,active,3.35,1.33653,560.6666667,variable,benthic invertivore;planktivore,benthic;benthopelagic;demersal,temperate,elongated,31.5,147.5,Pungpung
Canada (QC),Seagrass,Gasterosteus aculateus,Gasterosteus,Gasterosteidae,NA,NA,NA,QC,0,Atlantic,West,49.0885025,-68.3224425,39.8818004608154,16.5746002197266,2.19420001506805,37.6876007080078,0.793999993801117,0.67940000295639,0.603200006484985,47.8783996582031,35.2966003417969,26.8720001220703,14.0512001037598,5.31999998092651,-0.807399988174438,14.8585998535156,active,,,,variable,benthic invertivore;planktivore,benthic;benthopelagic;demersal,temperate,elongated;fusiform / normal,,,Gastacul
Italy,Seagrass,Coris julis,Coris,Labridae,NA,NA,NA,Italy,0.869047618872248,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,active,3.24000001,1.61389,553,hunting macrofauna (predator),benthic invertivore;cleaner;higher carnivore;scraping herbivore,benthic;demersal,subtropical,fusiform / normal,32,216,Corijuli
Italy,Seagrass,Spondyliosoma cantharus,Spondyliosoma,Sparidae,NA,NA,NA,Italy,0.869047618872248,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,active,3.27,1.93958,615,variable,benthic invertivore;browsing herbivore;higher carnivore;omnivore,benthic;demersal,subtropical,fusiform / normal,12,191,Sponcant
Italy,Seagrass,Serranus scriba,Serranus,Serranidae,NA,NA,NA,Italy,0.869047618872248,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,ambush,3.58,1.27923,591,hunting macrofauna (predator),benthic invertivore;higher carnivore,benthic;demersal,subtropical,fusiform / normal,nan,nan,Serrscri
Italy,Seagrass,Muraena helena,Muraena,Muraenidae,NA,NA,NA,Italy,0.869047618872248,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,ambush,4.18,nan,nan,hunting macrofauna (predator),higher carnivore,benthic,subtropical,eel-like,nan,nan,Murahele
Italy,Seagrass,Oblada melanura,Oblada,Sparidae,NA,NA,NA,Italy,0.869047618872248,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,active,3.38,2.47641,548,hunting macrofauna (predator),benthic invertivore;browsing herbivore;higher carnivore;omnivore,benthic;demersal,subtropical,fusiform / normal,41,190,Oblamela
Italy,Seagrass,Diplodus annularis,Diplodus,Sparidae,NA,NA,NA,Italy,0.869047618872248,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,active,3.21,1.58178,575,hunting macrofauna (predator),benthic invertivore;browsing herbivore;higher carnivore;omnivore,benthic;demersal,subtropical,fusiform / normal,33,200,Diplannu
Italy,Seagrass,Diplodus vulgaris,Diplodus,Sparidae,NA,NA,NA,Italy,0.869047618872248,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,active,3.34,4.71819,472,hunting macrofauna (predator),omnivore,demersal,subtropical,fusiform / normal,nan,nan,Diplvulg
Italy,Seagrass,Chromis chromis,Chromis,Pomacentridae,NA,NA,NA,Italy,0.869047618872248,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,active,3.38,1.13384,468,hunting macrofauna (predator),omnivore,demersal,subtropical,fusiform / normal,nan,nan,Chrochro
