Country,habitat,sciName,length,biomass,abun,Site,rate,basin,coast,meanLat,meanLong,chlomax,chlomean,chlomin,chlorange,cloudmax,cloudmean,cloudmin,parmax,parmean,salinity,sstmax,sstmean,sstmin,sstrange,family,act,food,asp,tl,feed,troph,watercol,clim,body,snoutx,snouty
Australia (NSW),Seagrass,Acanthopagrus australis,50.333333333333336,3.0677185590370177,18.333333333333332,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Sparidae,active,3.1,1.50486,484,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,60,195
Australia (NSW),Seagrass,Ambassis sp.,40.333333333333336,0.8315973603079782,356.6666666666667,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Ambassidae,ambush,NA,NA,NA,selective plankton feeding,planktivore,demersal,subtropical,fusiform / normal,NA,NA
Australia (NSW),Seagrass,Arenigobius bifrenatus,55,1.8083990277678785,1,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Gobiidae,ambush,nan,0.742595,593,hunting macrofauna (predator),benthic invertivore,benthic,subtropical,elongated,25,101
Australia (NSW),Seagrass,Atherinosoma microstoma,43.666666666666664,0.8929583081973008,5.333333333333333,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Atherinidae,active,nan,nan,nan,selective plankton feeding,benthic invertivore;planktivore,pelagic site attached,subtropical,elongated,nan,nan
Australia (NSW),Seagrass,Centropogon australis,45.666666666666664,2.3306911587423946,14,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Tetrarogidae,ambush,nan,1.5289,541,hunting macrofauna (predator),benthic invertivore,benthic;demersal,subtropical,fusiform / normal,nan,nan
Australia (NSW),Seagrass,Favonigobius exquisitus,40.586666666666666,0.7710618524125621,53.666666666666664,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Gobiidae,ambush,nan,nan,nan,hunting macrofauna (predator),benthic invertivore,benthic,subtropical,elongated;fusiform / normal,nan,nan
Australia (NSW),Seagrass,Gerres subfasciatus,62.666666666666664,4.985309573248921,6,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Gerreidae,active,nan,nan,nan,hunting macrofauna (predator),benthic invertivore,demersal,subtropical,fusiform / normal,nan,nan
Australia (NSW),Seagrass,Helotes sexlineatus,90,10.28369150066413,5,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Terapontidae,active,2,1.49408,605,hunting macrofauna (predator),benthic invertivore,benthic;demersal,subtropical,fusiform / normal,21,255
Australia (NSW),Seagrass,Hyporhamphus australis,175,14.57645089250073,1,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Hemiramphidae,active,2.59,1.57256,595,variable,omnivore,pelagic site attached,subtropical,elongated,nan,nan
Australia (NSW),Seagrass,Liza argentea,45,0.8910802122485058,1,NSW2,0.9466666666525264,Pacific,West,-32.380278,152.508889,3.17224997282028,1.05949997901917,0.429500006139278,2.74275004863739,0.630249992012978,0.492250002920628,0.369500003755093,56.8082494735718,38.8474998474121,35.4052495956421,24.7740001678467,21.1489996910095,17.6417498588562,7.13224995136261,Mugilidae,active,NA,NA,NA,variable,omnivore,demersal,subtropical;tropical,fusiform / normal,NA,NA
