Country,habitat,sciName,Genus,family,present,Site,rate,basin,coast,meanLat,meanLong,chlomax,chlomean,chlomin,chlorange,cloudmax,cloudmean,cloudmin,parmax,parmean,salinity,sstmax,sstmean,sstmin,sstrange,name,act,feed,troph,watercol,body
Canada (QC),Seagrass,Pungitius pungitius,Pungitius,Gasterosteidae,1,QC,0,Atlantic,West,49.0885025,-68.3224425,39.8818004608154,16.5746002197266,2.19420001506805,37.6876007080078,0.793999993801117,0.67940000295639,0.603200006484985,47.8783996582031,35.2966003417969,26.8720001220703,14.0512001037598,5.31999998092651,-0.807399988174438,14.8585998535156,Pungpung,active,variable,benthic invertivore;planktivore,demersal,elongated
Canada (QC),Seagrass,Gasterosteus aculateus,Gasterosteus,Gasterosteidae,NA,QC,0,Atlantic,West,49.0885025,-68.3224425,39.8818004608154,16.5746002197266,2.19420001506805,37.6876007080078,0.793999993801117,0.67940000295639,0.603200006484985,47.8783996582031,35.2966003417969,26.8720001220703,14.0512001037598,5.31999998092651,-0.807399988174438,14.8585998535156,Gastacul,active,variable,benthic invertivore;planktivore,demersal,elongated;fusiform / normal
Italy,Seagrass,Coris julis,Coris,Labridae,NA,Italy,0.8690476188722482,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,Corijuli,active,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal
Italy,Seagrass,Spondyliosoma cantharus,Spondyliosoma,Sparidae,NA,Italy,0.8690476188722482,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,Sponcant,active,variable,omnivore,demersal,fusiform / normal
Italy,Seagrass,Serranus scriba,Serranus,Serranidae,NA,Italy,0.8690476188722482,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,Serrscri,ambush,hunting macrofauna (predator),benthic invertivore;higher carnivore,demersal,fusiform / normal
Italy,Seagrass,Muraena helena,Muraena,Muraenidae,NA,Italy,0.8690476188722482,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,Murahele,ambush,hunting macrofauna (predator),higher carnivore,benthic,eel-like
Italy,Seagrass,Oblada melanura,Oblada,Sparidae,NA,Italy,0.8690476188722482,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,Oblamela,active,hunting macrofauna (predator),omnivore,demersal,fusiform / normal
Italy,Seagrass,Diplodus annularis,Diplodus,Sparidae,NA,Italy,0.8690476188722482,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,Diplannu,active,hunting macrofauna (predator),omnivore,demersal,fusiform / normal
Italy,Seagrass,Diplodus vulgaris,Diplodus,Sparidae,NA,Italy,0.8690476188722482,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,Diplvulg,active,hunting macrofauna (predator),omnivore,demersal,fusiform / normal
Italy,Seagrass,Chromis chromis,Chromis,Pomacentridae,NA,Italy,0.8690476188722482,Mediterranean,East,43.06767175,9.8312325,0.336750000715256,0.208500001579523,0.0950000025331974,0.241749994456768,0.706750005483627,0.575499996542931,0.344750002026558,57.1875,34.4017505645752,38.1187496185303,25.4862504005432,18.8420000076294,13.3857500553131,12.1005001068115,Chrochro,active,hunting macrofauna (predator),omnivore,demersal,fusiform / normal
