act,feed,troph,watercol,body,Site,habitat
1,hunting macrofauna (predator),benthic invertivore,benthic,elongated;fusiform / normal,Baja,Seagrass
1,hunting macrofauna (predator),benthic invertivore,benthic,elongated,Baja,Unvegetated
0,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal,Brazil,Seagrass
0,hunting macrofauna (predator),benthic invertivore,benthic,fusiform / normal,Brazil,Unvegetated
1,hunting macrofauna (predator),benthic invertivore,benthic,fusiform / normal,CA,Seagrass
1,browsing on substrate;hunting macrofauna (predator);selective plankton feeding;variable,benthic invertivore;higher carnivore;omnivore;planktivore,benthic,fusiform / normal,CA,Unvegetated
1,hunting macrofauna (predator);variable,omnivore,benthic,fusiform / normal,CA2,Seagrass
1,hunting macrofauna (predator);variable,omnivore,benthic,fusiform / normal,CA2,Unvegetated
1,hunting macrofauna (predator);variable,omnivore,benthic,fusiform / normal,CA3,Seagrass
1,hunting macrofauna (predator),benthic invertivore,benthic,elongated;fusiform / normal,CA3,Unvegetated
1,grazing on aquatic plants,omnivore,benthic,elongated,Chile,Seagrass
0,hunting macrofauna (predator),benthic invertivore;planktivore,benthic,fusiform / normal,Croatia,Seagrass
1,hunting macrofauna (predator),benthic invertivore;higher carnivore;omnivore;planktivore,benthic,fusiform / normal,Croatia,Unvegetated
0,browsing on substrate;selective plankton feeding;variable,omnivore;scraping herbivore,benthic;demersal,shrimp,DE,Unvegetated
0,hunting macrofauna (predator),omnivore,benthic,fusiform / normal,France,Seagrass
0,hunting macrofauna (predator),omnivore,demersal,fusiform / normal,France,Unvegetated
0,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal;short and / or deep,Korea,Seagrass
1,hunting macrofauna (predator),benthic invertivore,benthic,fusiform / normal,Korea,Unvegetated
0,hunting macrofauna (predator),omnivore,demersal,fusiform / normal,NC,Seagrass
0,hunting macrofauna (predator),omnivore,demersal,fusiform / normal,NC,Unvegetated
0,hunting macrofauna (predator),omnivore,demersal,fusiform / normal,NC2,Seagrass
1,hunting macrofauna (predator),benthic invertivore,benthic,elongated;fusiform / normal,Norway,Seagrass
1,hunting macrofauna (predator),benthic invertivore,benthic,elongated;fusiform / normal,Norway,Unvegetated
0,browsing on substrate,scraping herbivore,demersal,shrimp,NSW1,Seagrass
0,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal,NSW1,Unvegetated
1,selective plankton feeding,planktivore,demersal,fusiform / normal,NSW2,Seagrass
1,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal,NSW2,Unvegetated
1,browsing on substrate;hunting macrofauna (predator);selective plankton feeding;variable,benthic invertivore;higher carnivore;omnivore;planktivore,benthic,fusiform / normal,OR,Unvegetated
0,grazing on aquatic plants,browsing herbivore,demersal,fusiform / normal,QLD2,Seagrass
0,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal,QLD2,Unvegetated
1,selective plankton feeding,planktivore,demersal,fusiform / normal,QLD3,Seagrass
1,selective plankton feeding,planktivore,demersal,fusiform / normal,QLD3,Unvegetated
0,variable,benthic invertivore,pelagic site attached,elongated,QLD4,Seagrass
0,variable,benthic invertivore;planktivore,pelagic site attached,elongated,QLD4,Unvegetated
0,browsing on substrate;selective plankton feeding;variable,omnivore;scraping herbivore,benthic;demersal,shrimp,TX,Seagrass
0,hunting macrofauna (predator),omnivore;scraping herbivore,benthic,shrimp,TX,Unvegetated
0,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal,VA,Seagrass
0,variable,omnivore,benthic,crab,VA2,Seagrass
0,hunting macrofauna (predator),benthic invertivore,demersal,elongated,VA2,Unvegetated
0,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal;short and / or deep,VIC,Seagrass
0,hunting macrofauna (predator),benthic invertivore,demersal,fusiform / normal;short and / or deep,VIC,Unvegetated
0,selective plankton feeding,planktivore,pelagic site attached,elongated,Wales,Seagrass
1,hunting macrofauna (predator),benthic invertivore;higher carnivore;omnivore;planktivore,benthic,fusiform / normal,Wales,Unvegetated
