Country,Site,hemi,basin,coast,habitat,sstmean,parmean,MDS1,rate,temp,sal,biomass,cpua
Australia (NSW),NSW2,South,Pacific,West,Seagrass,21.1489996910095,38.8474998474121,0.838093487900109,0.9466666666525264,24.8333333333333,31.8888888888889,2.8475455852890144,2.2114987468671683
Australia (NSW),NSW2,South,Pacific,West,Unvegetated,21.1489996910095,38.8474998474121,0.838093487900109,0.999999999957579,24.9333333333333,32,1.358631639123543,0.4458881389630095
Australia (NSW2),NSW1,South,Pacific,West,Seagrass,22.2109994888306,40.4440002441406,0.624886325807451,0.9866666666341051,27.8666666666667,36.4666666666667,4.360479497957303,3.1
Australia (NSW2),NSW1,South,Pacific,West,Unvegetated,22.2109994888306,40.4440002441406,0.624886325807451,0.461121114201135,28.1666666666667,36.4666666666667,0.8910656919713157,0.112
Australia (QLD),QLD2,South,Pacific,West,Seagrass,25.9474997520447,44.847749710083,0.801070272138874,0.08853453846133791,27.75,33.5,2.509003526094194,0.8733333333333334
Australia (QLD),QLD2,South,Pacific,West,Unvegetated,25.9474997520447,44.847749710083,0.801070272138874,0.06672935440380337,27.0833333333333,32.3333333333333,0.16881241872681035,0.40184615384615385
Australia (QLD2),QLD3,South,Pacific,West,Seagrass,24.6019999186198,41.0836664835612,0.548046781409814,0.6600845269307926,26,33.9,0.9890032724057619,0.5283333333333333
Australia (QLD2),QLD3,South,Pacific,West,Unvegetated,24.6019999186198,41.0836664835612,0.548046781409814,0.5449547423576482,26,33.9,0.33221909655605536,1.015
Australia (QLD3),QLD4,South,Pacific,West,Seagrass,23.5752501487732,41.0080003738403,0.57188499095532,0.5552368993574893,30.2,37.8285714285714,1.8047723757854957,0.44766666666666666
Australia (QLD3),QLD4,South,Pacific,West,Unvegetated,23.5752501487732,41.0080003738403,0.57188499095532,0.26329314794513536,30.5222222222222,37.7222222222222,0.07519953080516426,0.08821428571428572
Australia (VIC),VIC,South,Pacific,West,Seagrass,16.1350005467733,34.3723328908285,0.222838316482422,0.015799707227197837,20.7625,37,0.5607535565545182,0.11
Australia (VIC),VIC,South,Pacific,West,Unvegetated,16.1350005467733,34.3723328908285,0.222838316482422,0.0053698392662873285,20.7625,37,0.09074864795020482,0.1275
Brazil,Brazil,South,Atlantic,West,Seagrass,24.6234998703003,37.9079990386963,0.28242100607073,0.02011235337054714,26.8222222222222,34.1666666666667,0.4361174985636044,0.07453373015873016
Brazil,Brazil,South,Atlantic,West,Unvegetated,24.6234998703003,37.9079990386963,0.28242100607073,0.0034934683303117233,26.9777777777778,33.4444444444444,0.1729288370080109,0.014024024024024024
Canada (BC),BC,North,Atlantic,East,Seagrass,9.53099981943766,29.0873336791992,-0.153351845968433,0.0023574805238045764,12.1,30.8366666666667,0,0
Canada (BC),BC,North,Atlantic,East,Unvegetated,9.53099981943766,29.0873336791992,-0.153351845968433,0.003989310499618517,12.6083333333333,29.645,0,0
Canada (QC),QC,North,Atlantic,West,Seagrass,5.31999998092651,35.2966003417969,-1.19288278658989,0,12.5,30,0,0
Canada (QC),QC,North,Atlantic,West,Unvegetated,5.31999998092651,35.2966003417969,-1.19288278658989,0.0022155803892083634,12.5,30,0,0
Chile,Chile,South,Pacific,East,Seagrass,15.1050000190735,38.9487495422363,-0.296654489056944,0.0034983984441685134,19.8333333333333,33.6666666666667,0.1522842913639528,0.037134099616858235
Chile,Chile,South,Pacific,East,Unvegetated,15.1050000190735,38.9487495422363,-0.296654489056944,0.0058910509815257965,19.6,34.0333333333333,0,0
