Country,habitat,act.ratio,Site,meanLat,rate
Australia (NSW),Seagrass,0.6153846153846154,NSW2,-32.380278,0.9466666666525264
Australia (NSW),Unvegetated,0.6923076923076923,NSW2,-32.380278,0.999999999957579
Australia (NSW2),Seagrass,0.7222222222222222,NSW1,-30.505112,0.9799999999723681
Australia (NSW2),Unvegetated,0.6666666666666666,NSW1,-30.505112,0.461121114201135
Australia (QLD),Seagrass,0.6923076923076923,QLD2,-20.01884,0.08853453846133791
Australia (QLD),Unvegetated,0.8,QLD2,-20.01884,0.06672935440380337
Australia (QLD2),Seagrass,0.7884615384615384,QLD3,-25.850707,0.6915010230835235
Australia (QLD2),Unvegetated,0.8333333333333334,QLD3,-25.850707,0.5985326363065556
Australia (QLD3),Seagrass,0.6896551724137931,QLD4,-27.494748,0.526434066871848
Australia (QLD3),Unvegetated,0.6666666666666666,QLD4,-27.494748,0.26329314794513536
Australia (VIC),Seagrass,0.5454545454545454,VIC,-38.1754906666667,0.020857077874364874
Australia (VIC),Unvegetated,0.4444444444444444,VIC,-38.1754906666667,0.006179146646786116
Brazil,Seagrass,0.7777777777777778,Brazil,-23.7708733333333,0.02633638079834913
Brazil,Unvegetated,0.9,Brazil,-23.7708733333333,0.0029760957760974227
Canada (BC),Seagrass,0.2857142857142857,BC,51.6788933333333,0.0028289766285654917
Canada (BC),Unvegetated,0,BC,51.6788933333333,0.00478717259954222
Canada (QC),Seagrass,0.9090909090909091,QC,49.0885025,0
Canada (QC),Unvegetated,0.8571428571428571,QC,49.0885025,0.002658696467050036
Chile,Seagrass,0.7,Chile,-30.2959268,0.00349839844403024
Chile,Unvegetated,0.8333333333333334,Chile,-30.2959268,0.0058910509815257965
Croatia,Seagrass,0.5833333333333334,Croatia,44.20446025,0
Croatia,Unvegetated,0.5882352941176471,Croatia,44.20446025,0.191681671322913
France,Seagrass,0.6428571428571429,France,43.447124,4.537526647225833e-4
France,Unvegetated,0.75,France,43.447124,0.04617251367819423
Italy,Seagrass,0.8461538461538461,Italy,43.06767175,0.869047618872248
Italy,Unvegetated,0.8888888888888888,Italy,43.06767175,0.9999999999574397
Korea,Seagrass,0.5263157894736842,Korea,34.7286333333333,0.03326531901149005
Korea,Unvegetated,0.5,Korea,34.7286333333333,0.2274914790972235
Mexico (BN),Seagrass,0.5384615384615384,Baja,31.75306775,0.28779725376202187
Mexico (BN),Unvegetated,0.5833333333333334,Baja,31.75306775,0.020034491522679266
Mexico (ICML),Seagrass,0.8888888888888888,Yuca2,20.834515,0.030494406137431998
Mexico (ICML),Unvegetated,0.9,Yuca2,20.834515,0.0011661328149532933
Mexico (ICML2),Seagrass,0.7,Yuca1,19.82714,0.007270413437255277
Mexico (ICML2),Unvegetated,0.8571428571428571,Yuca1,19.82714,0.0011373593738411107
Norway,Seagrass,0.42857142857142855,Norway,67.214334,0
Norway,Unvegetated,0.4444444444444444,Norway,67.214334,5.714641352272767e-4
USA (AK),Seagrass,0.16666666666666666,AK,58.60856,0.0017860163885773
USA (AK),Unvegetated,0,AK,58.60856,0
USA (CA),Seagrass,0.47368421052631576,CA,32.76524175,0.09851986024432245
USA (CA),Unvegetated,0.25,CA,32.76524175,0.023118523158235017
USA (CA2),Seagrass,0.6,CA2,35.3498195,0.010381562524838803
USA (CA2),Unvegetated,0.38461538461538464,CA2,35.3498195,0.00417099738680256
USA (CA3),Seagrass,0.6666666666666666,CA3,36.809972,0.1155253890405432
USA (CA3),Unvegetated,0.7777777777777778,CA3,36.809972,0.00174919922242994
USA (DE),Unvegetated,0.75,DE,38.472539,0.005158542832228672
USA (FL),Seagrass,1,FL,27.536026,0.2877892059098243
USA (FL),Unvegetated,1,FL,27.536026,0.5047440607258257
USA (MA),Seagrass,0.25,MA,42.420327,0.004143496912381877
USA (MA),Unvegetated,0,MA,42.420327,0.0030048645718492666
USA (NC),Seagrass,0.7142857142857143,NC,34.69075,0.7009696188211324
USA (NC),Unvegetated,0.8461538461538461,NC,34.69075,0.7192889556764114
USA (NC2),Seagrass,1,NC2,34.7004,0.8933333333153647
USA (OR),Seagrass,0.6363636363636364,OR,43.315198,0.0012857943042613724
USA (OR),Unvegetated,0.45454545454545453,OR,43.315198,0.00425382689863089
USA (TX),Seagrass,0.7777777777777778,TX,27.57701933,0.0944348488813344
USA (TX),Unvegetated,0.8333333333333334,TX,27.57701933,0.11305011031951573
USA (VA),Seagrass,1,VA,37.215796,0.10440977133211
USA (VA2),Seagrass,0.8,VA2,37.6839766666667,0.0229216953574732
USA (VA2),Unvegetated,1,VA2,37.6839766666667,0.0102161026488851
USA (WA),Seagrass,0.5,WA,47.3485222222222,0.004143496912381877
USA (WA),Unvegetated,1,WA,47.3485222222222,0.0045040749103324425
USA (WA2),Seagrass,0.6666666666666666,WA2,48.48532472,0.0021777973238503974
USA (WA2),Unvegetated,0.5555555555555556,WA2,48.48532472,0.00573227841177375
Wales,Seagrass,0.5263157894736842,Wales,52.9420175,0.28620279464784076
Wales,Unvegetated,0.4,Wales,52.9420175,0.010959047790455029
