"family","term","estimate","std.error","statistic","p.value"
"Atherinidae","(Intercept)",-0.646620301310506,0.722084185280451,-0.895491570777672,0.381175957902758
"Atherinidae","log10(mean.biomass + 0.001)",0.507734475381873,0.555918462119124,0.913325442451441,0.371950795153655
"Blenniidae","(Intercept)",-2.47697088622032,1.3567327130638,-1.82568818630957,0.0909476737186584
"Blenniidae","log10(mean.biomass + 0.001)",-0.60129776787294,0.748057544367311,-0.803812183167677,0.435957774594662
"Clinidae","(Intercept)",-0.490428750266429,1.94830209315078,-0.251721102179442,0.809656782175036
"Clinidae","log10(mean.biomass + 0.001)",2.53678545633169,1.70381682549588,1.4888839095678,0.187091928510442
"Cottidae","(Intercept)",-4.33738081842936,0.887356422162864,-4.88798042150562,0.000118383704720288
"Cottidae","log10(mean.biomass + 0.001)",-1.53399259211046,0.691457925164862,-2.21849014420467,0.0396192663068033
"Embiotocidae","(Intercept)",-3.6223663826619,0.510142197528746,-7.10069937403636,1.28206435548144e-06
"Embiotocidae","log10(mean.biomass + 0.001)",-0.705242960636226,0.646974309760208,-1.09006331472051,0.290063617678701
"Fundulidae","(Intercept)",-1.90306182481744,1.02911086556671,-1.8492291632442,0.0941640308086421
"Fundulidae","log10(mean.biomass + 0.001)",-0.301865532875534,0.683479019449638,-0.441660276739156,0.668132364501848
"Gadidae","(Intercept)",-2.29738398166104,4.90682677710718,-0.468201566107753,0.656165171802525
"Gadidae","log10(mean.biomass + 0.001)",0.189626805204886,2.89767593555961,0.0654409980349525,0.949948843595248
"Gasterosteidae","(Intercept)",-2.41388438165808,1.13823559429591,-2.12072473726431,0.0716447845974879
"Gasterosteidae","log10(mean.biomass + 0.001)",-0.0937074250342485,0.766709966224815,-0.12222017341923,0.906159464676063
"Gerreidae","(Intercept)",0.316811522549908,0.73484854256536,0.431124924659872,0.672941856378309
"Gerreidae","log10(mean.biomass + 0.001)",0.638369750841041,0.81376877483687,0.784460857408801,0.445841030096447
"Haemulidae","(Intercept)",3.55289095167552,0.870216091980912,4.08276861852545,0.0550817327929761
"Haemulidae","log10(mean.biomass + 0.001)",2.80847535936422,0.902320390991468,3.11250348258037,0.0895717433737357
"Hemiramphidae","(Intercept)",3.32819832015514,1.86283909593897,1.78662683610768,0.111813909246314
"Hemiramphidae","log10(mean.biomass + 0.001)",1.92194802750886,1.14698613129673,1.6756506247691,0.132334799670773
"Hexagrammidae","(Intercept)",-2.60762053146233,6.88386337216096,-0.378801900980169,0.769480190275264
"Hexagrammidae","log10(mean.biomass + 0.001)",-0.23633000446004,5.52398900293521,-0.0427824900329208,0.972780419877885
"Labridae","(Intercept)",-4.24016462401287,0.812764303253522,-5.21696709247607,0.000391583734662947
"Labridae","log10(mean.biomass + 0.001)",-1.86619658771096,0.47371536171741,-3.93948927673623,0.00277717297468619
"Lutjanidae","(Intercept)",-2.99699074190856,0.391816023532915,-7.64897442142712,0.082760046581057
"Lutjanidae","log10(mean.biomass + 0.001)",-0.541509916321766,0.237991405181085,-2.27533391766706,0.263614371768156
"Mugilidae","(Intercept)",-1.16296945002673,1.38517678478095,-0.839581967301476,0.420761304243104
"Mugilidae","log10(mean.biomass + 0.001)",-0.468561116242541,0.843042476574393,-0.555797755465995,0.590566568858441
"Mullidae","(Intercept)",2.52911119633421,3.48852874611695,0.724979319476538,0.520895003830156
"Mullidae","log10(mean.biomass + 0.001)",2.58528598667564,2.60274012268239,0.993293938240454,0.393784461246034
"Sciaenidae","(Intercept)",-2.68486818634623,0.872573604395185,-3.07695324821018,0.00722000575511682
"Sciaenidae","log10(mean.biomass + 0.001)",-0.766384779120907,0.586362039919386,-1.30701636010795,0.20968060476963
"Sebastidae","(Intercept)",-2.70031230829558,1.73301719901307,-1.55815667024735,0.194196387211538
"Sebastidae","log10(mean.biomass + 0.001)",0.128531869885803,0.741456727089937,0.173350466979056,0.870794725478555
"Serranidae","(Intercept)",-1.28485401115963,0.615174001794022,-2.08860258628068,0.10499642687567
"Serranidae","log10(mean.biomass + 0.001)",0.804498321699401,1.03468783555276,0.777527573105773,0.480269375625421
"Sillaginidae","(Intercept)",-0.267479601464542,0.986507643119841,-0.271137890648911,0.791799596182185
"Sillaginidae","log10(mean.biomass + 0.001)",-0.108686900195892,0.548778181240908,-0.198052517230417,0.84697215725632
"Sparidae","(Intercept)",0.7222467214581,0.795587517480377,0.907815552141206,0.379337235543494
"Sparidae","log10(mean.biomass + 0.001)",1.91839158784485,1.10591693420688,1.73466155414344,0.104751974591496
"Sphyraenidae","(Intercept)",-2.36981174952867,1.68500508625469,-1.40641222323911,0.232332681157139
"Sphyraenidae","log10(mean.biomass + 0.001)",-1.27430257052737,0.857319782520664,-1.48637952431321,0.211374849717828
"Terapontidae","(Intercept)",0.570454161656032,1.08203510482812,0.527204856026042,0.614341311955459
"Terapontidae","log10(mean.biomass + 0.001)",-0.128205894183586,0.996976076457443,-0.128594754890348,0.901295018917901
"Tetraodontidae","(Intercept)",1.93423501991333,1.16425655476906,1.66134776050027,0.118863928691253
"Tetraodontidae","log10(mean.biomass + 0.001)",3.06181452386045,1.35659340195243,2.25698762757789,0.04051631520508
"Tetrarogidae","(Intercept)",-1.83952496250824,1.61023819039737,-1.14239307791743,0.305027072896766
"Tetrarogidae","log10(mean.biomass + 0.001)",-2.28115403191771,1.4801539408223,-1.54115998951461,0.183911738069144
