"Lat","Long","Country","Site.Name","habitat"
-38.193552,144.711297,"Australia (VIC)",NA,NA
-38.19355,144.7113,"Australia (VIC)","Edwards Point","Seagrass"
-38.19355,144.7113,"Australia (VIC)","Edwards Point","Unveg"
-38.180151,144.715595,"Australia (VIC)",NA,NA
-38.18015,144.7156,"Australia (VIC)","St. Leonards","Seagrass"
-38.18015,144.7156,"Australia (VIC)","St. Leonards","Unveg"
-38.152773,144.716919,"Australia (VIC)",NA,NA
-38.15277,144.71692,"Australia (VIC)","Indented Head","Seagrass"
-38.15277,144.71692,"Australia (VIC)","Indented Head","Unveg"
-35.09903,150.57948,"Australia (NSW1.1)",NA,NA
-33.84018,151.25313,"Australia (NSW1.2)",NA,NA
-32.380278,152.508889,"Australia (NSW)","Smiths_Lake_NSW","Seagrass"
-32.380278,152.508889,"Australia (NSW)","Smiths_Lake_NSW","Unveg"
-30.50648,153.02373,"Australia (NSW2)","Urunga Lagoon 1","Seagrass"
-30.50583,153.02362,"Australia (NSW2)",NA,NA
-30.50466,153.02372,"Australia (NSW2)",NA,NA
-30.50439,153.0238,"Australia (NSW2)",NA,NA
-30.5042,153.02395,"Australia (NSW2)","Urunga Lagoon 2","Unveg"
-30.298295,-71.605056,"Chile","Puerto Aldea (Chile)","Unveg"
-30.298258,-71.605429,"Chile","Puerto Aldea (Chile)","Unveg"
-30.29754,-71.607033,"Chile",NA,NA
-30.293,-71.608228,"Chile",NA,NA
-30.292541,-71.608146,"Chile","Puerto Aldea (Chile)","Seagrass"
-27.496161,153.396698,"Australia (QLD3)","Moreton_Bay","Unveg"
-27.495714,153.396891,"Australia (QLD3)","Moreton_Bay","Unveg"
-27.495251,153.396907,"Australia (QLD3)","Moreton_Bay","Unveg"
-27.494632,153.39706,"Australia (QLD3)",NA,NA
-27.494235,153.397253,"Australia (QLD3)","Moreton_Bay","Seagrass"
-27.49408,153.397264,"Australia (QLD3)",NA,NA
-27.493998,153.397206,"Australia (QLD3)","Moreton_Bay","Seagrass"
-27.493913,153.397212,"Australia (QLD3)","Moreton_Bay","Seagrass"
-26.393508,153.055206,"Australia (QLD2)","Noosa river","Seagrass"
-26.393508,153.055206,"Australia (QLD2)","Noosa river","Unveg"
-25.307906,152.909319,"Australia (QLD2)","Hervey Bay","Seagrass"
-25.307906,152.909319,"Australia (QLD2)","Hervey Bay","Unveg"
-23.78863,-45.36364,"Brazil","Praia do Engenho","Seagrass"
-23.762,-45.34991,"Brazil",NA,NA
-23.76199,-45.34991,"Brazil","Praia do Barreiro","Unveg"
-20.02034,148.24826,"Australia (QLD)","Bowen","Unveg"
-20.01734,148.25191,"Australia (QLD)","Bowen","Seagrass"
-16.7556,145.97476,"Australia (QLD4)",NA,NA
-16.75543,145.97242,"Australia (QLD4)",NA,NA
-16.75543,145.97292,"Australia (QLD4)",NA,NA
-16.75542,145.97292,"Australia (QLD4)",NA,NA
9.351617,-82.257759,"Panama",NA,NA
9.351809,-82.257631,"Panama",NA,NA
10.06677,73.63355,"India",NA,NA
10.07013,73.63361,"India",NA,NA
16.80254722,-88.08194444,"Belize",NA,NA
19.82687,-87.45509,"Mexico (ICML2)",NA,NA
19.8271,-87.45401,"Mexico (ICML2)",NA,NA
19.82721,-87.45526,"Mexico (ICML2)",NA,NA
