"family","trophicmean","trophicmin","trophicmax","omnivory","herbivory"
"Acropomatidae",3.26,3.26,3.26,NA,NA
"Agonidae",3.665,3.28,4.05,0,0
"Albulidae",3.73,3.73,3.73,0,0
"Ambassidae",3.23333333333333,3.1,3.4,0,0
"Ammodytidae",3.13666666666667,3.08,3.2,0,0
"Arripidae",4.31,4.31,4.31,0,0
"Atherinidae",3.355,3.22,3.67,0,0
"Atherinopsidae",2.942,2.33,3.23,0,0
"Aulorhynchidae",3.390000105,3.390000105,3.390000105,0,0
"Aulostomidae",4.24,4.24,4.24,0,0
"Batrachoididae",3.84,3.84,3.84,0,0
"Belonidae",3.75,3,4.5,0,0
"Blenniidae",2.97,2.19,3.59,1,1
"Callionymidae",3.25666666666667,3.2,3.3,0,0
"Carabidae",3.4,3.4,3.4,0,0
"Carangidae",3.995,3.83,4.16,0,0
"Channidae",3.36,3.36,3.36,0,0
"Cheilodactylidae",3.65,3.65,3.65,0,0
"Clinidae",3.67,3.45,3.89,0,0
"Clupeidae",3.04444444444444,2.07,3.42,1,0
"Cottidae",3.53533332573333,3.2,4.28,0,0
"Cyclopteridae",3.89,3.89,3.89,0,0
"Cyprinodontidae",2.78,2.66,2.9,1,0
"Diodontidae",3.5,3.5,3.5,0,0
"Eleotridae",3.75,3.75,3.75,0,0
"Elopidae",3.49,3.49,3.49,NA,NA
"Embiotocidae",3.299,2.78,3.7,0,0
"Engraulidae",3.239999965,2.859999895,3.46,0,0
"Fistulariidae",4.26,4.26,4.26,0,0
"Fundulidae",3.362,3.2,3.59,1,0
"Gadidae",4.136,3.6,4.36,0,0
"Gasterosteidae",3.305,3.19,3.5,0,0
"Gerreidae",3.13,2.72,3.3,0,0
"Gobiesocidae",NA,Inf,-Inf,0,0
"Gobiidae",3.26666666033333,2.71,3.71,1,0
"Haemulidae",3.165,2.91,3.42,0,0
"Hemiramphidae",3.04857142857143,2.59,3.4,1,0
"Hexagrammidae",3.5999999785,3.34,3.8,0,0
"Kyphosidae",2.045,2,2.09,0,1
"Labridae",3.20875,2,3.6,0,1
"Lateolabracidae",3.36,3.36,3.36,0,0
"Lethrinidae",4.065,3.67,4.46,0,0
"Liparidae",NA,Inf,-Inf,0,0
"Lutjanidae",4.165,4.1,4.23,0,0
"Monacanthidae",2.735,2.36,3.12,1,1
"Monodactylidae",2.95,2.95,2.95,0,0
"Moronidae",3.47,3.47,3.47,0,0
"Mugilidae",2.546,2.01,2.89,1,1
"Mullidae",3.345,3.1,3.59,0,0
"Osmeridae",3.430000067,3.430000067,3.430000067,0,0
"Ostraciidae",3.5,3.5,3.5,0,0
"Paralichthyidae",3.90428571428571,3.4,4.5,0,0
"Pholidae",3.442,3.27,3.55,0,0
"Phycidae",4.42,4.42,4.42,0,0
"Platycephalidae",3.98,3.9,4.06,0,0
"Pleuronectidae",3.53714285714286,3.23,4.06,0,0
"Portunidae",NA,Inf,-Inf,1,0
"Pseudomugilidae",2.86,2.86,2.86,0,0
"Rhinobatidae",3.59,3.59,3.59,NA,NA
"Rhombosoleidae",NA,Inf,-Inf,0,0
"Salangidae",3.15,3.15,3.15,NA,NA
"Salmonidae",4.4,4.4,4.4,0,0
"Sciaenidae",3.635,3.2,4.17,0,0
"Sebastidae",3.82,3.7,4.06,0,0
"Serranidae",3.915,3.53,4.2,0,0
"Siganidae",2.26333333,2,2.75999999,0,1
"Sillaginidae",3.275,3.24,3.31,0,0
"Soleidae",3.21,3.21,3.21,0,0
"Sparidae",3.3375,2.32,4.4,1,1
"Sphyraenidae",4.3,4.1,4.5,0,0
"Stichaeidae",2.49,2.49,2.49,0,0
"Syngnathidae",3.3979999972,3.02,4.31,0,0
"Synodontidae",4.36333333333333,4.2,4.5,0,0
"Terapontidae",2.795,2,3.59,0,0
"Tetraodontidae",3.5475,3.24,4.04,0,0
"Tetrarogidae",3.24,3.2,3.28,0,0
"Trachinidae",4.41,4.41,4.41,NA,NA
"Triglidae",3.725,3.68,3.77,0,0
"Acanthuridae",NA,NA,NA,0,1
"Aplysiidae",NA,NA,NA,0,1
"Ariidae",NA,NA,NA,1,0
"Balistidae",NA,NA,NA,NA,NA
"Cancridae",NA,NA,NA,1,0
"Carcharhinidae",NA,NA,NA,NA,NA
"Carcinidae",NA,NA,NA,0,0
"Chaetodontidae",NA,NA,NA,NA,NA
"Crangonidae",NA,NA,NA,0,0
"Echeneidae",NA,NA,NA,NA,NA
"Epialtidae",NA,NA,NA,0,1
"Epialtidae ",NA,NA,NA,1,0
"Hippolytidae",NA,NA,NA,NA,NA
"Loliginidae",NA,NA,NA,0,0
"Lysmatidae",NA,NA,NA,NA,NA
"Muraenidae",NA,NA,NA,NA,NA
"Nemipteridae",NA,NA,NA,NA,NA
"Ovalipidae",NA,NA,NA,0,0
"Paguridae",NA,NA,NA,1,0
"Palaemonidae",NA,NA,NA,1,1
"Panopeidae",NA,NA,NA,NA,NA
"Penaeidae",NA,NA,NA,1,1
"Pomacentridae",NA,NA,NA,1,0
"Processidae",NA,NA,NA,1,0
"Scyliorhinidae",NA,NA,NA,NA,NA
"Sepiidae",NA,NA,NA,0,0
"Trichechidae",NA,NA,NA,0,1
"Urotrygonidae",NA,NA,NA,NA,NA
"Varunidae",NA,NA,NA,1,0
"ALL",3.39040983489754,2,4.5,0,0
